#separator:tab
#html:false
#columns:Front	Back
美味しい	おいしいです, おいしくない, おいしくて, おいしかった, おいしくなかった, Delicious
かわいい	かわいいです, かわいくない, かわいくて, かわいかった, かわいくなかった, Cute/Pretty
暑い	あついです, あつくない, あつくて, あつかった, あつくなかった, Hot
寒い	さむいです, さむくない, さむくて, さむかった, さむくなかった, Cold
冷たい	つめたいです, つめたくない, つめたくて, つめたかった, つめたくなかった, Cold (touch)
高い	たかいです, たかくない, たかくて, たかかった, たかくなかった, High/Expensive
安い	やすいです, やすくない, やすくて, やすかった, やすくなかった, Cheap
低い	ひくいです, ひくくない, ひくくて, ひくかった, ひくくなかった, Low
長い	ながいです, ながくない, ながくて, ながかった, ながくなかった, Long
短い	みじかいです, みじかくない, みじかくて, みじかかった, みじかくなかった, Short
大きい	おおきいです, おおきくない, おおきくて, おおきかった, おおきくなかった, Big
小さい	ちいさいです, ちいさくない, ちいさくて, ちいさかった, ちいさくなかった, Small
早い	はやいです, はやくない, はやくて, はやかった, はやくなかった, Fast/Early
遅い	おそいです, おそくない, おそくて, おそかった, おそくなかった, Slow
多い	おおいです, おおくない, おおくて, おおかった, おおくなかった, A lot/Much
少ない	すくないです, すくなくない, すくなくて, すくなかった, すくなくなかった, A little
忙しい	いそがしいです, いそがしくない, いそがしくて, いそがしかった, いそがしくなかった, Busy
新しい	あたらしいです, あたらしくない, あたらしくて, あたらしかった, あたらしくなかった, New
古い	ふるいです, ふるくない, ふるくて, ふるかった, ふるくなかった, Old
いい	いいです, よくない, よくて, よかった, よくなかった, Good
悪い	わるいです, わるくない, わるくて, わるかった, わるくなかった, Bad
難しい	むずかしいです, むずかしくない, むずかしくて, むずかしかった, むずかしくなかった, Difficult
易しい	やさしいです, やさしくない, やさしくて, やさしかった, やさしくなかった, Easy/Gentle
面白い	おもしろいです, おもしろくない, おもしろくて, おもしろかった, おもしろくなかった, Fun
楽しい	たのしいです, たのしくない, たのしくて, たのしかった, たのしくなかった, Interesting
白い	しろいです, しろくない, しろくて, しろかった, しろくなかった, White
赤い	あかいです, あかくない, あかくて, あかかった, あかくなかった, Red
黒い	くろいです, くろくない, くろくて, くろかった, くろくなかった, Black
青い	あおいです, あおくない, あおくて, あおかった, あおくなかった, Blue
近い	ちかいです, ちかくない, ちかくて, ちかかった, ちかくなかった, Near/Close
遠い	とおいです, とおくない, とおくて, とおかった, とおくなかった, Far
暖かい	あたたかいです, あたたかくない, あたたかくて, あたたかかった, あたたかくなかった, Warm
涼しい	すずしいです, すずしくない, すずしくて, すずしかった, すずしくなかった, Cool
甘い	あまいです, あまくない, あまくて, あまかった, あまくなかった, Sweet
辛い	からいです, からくない, からくて, からかった, からくなかった, Spicy
重い	おもいです, おもくない, おもくて, おもかった, おもくなかった, Heavy
軽い	かるいです, かるくない, かるくて, かるかった, かるくなかった, Light
欲しい／たい	ほしいです, ほしくない, ほしくて, ほしかった, ほしくなかった, Want
広い	ひろいです, ひろくない, ひろくて, ひろかった, ひろくなかった, Wide
狭い	せまいです, せまくない, せまくて, せまかった, せまくなかった, Narrow
若い	わかいです, わかくない, わかくて, わかかった, わかくなかった, Young
明るい	あかるいです, あかるくない, あかるくて, あかるかった, あかるくなかった, Bright
暗い	くらいです, くらくない, くらくて, くらかった, くらくなかった, Dark
背が高い	せがたかいです, せがたかくない, せがたかくて, せがたかかった, せがたかくなかった, Tall
背が低い	せがひくいです, せがひくくない, せがひくくて, せがひくかった, せがひくくなかった, Short
頭がいい	あたまがいいです, あたまがよくない, あたまがよくて, あたまがよかった, あたまがよくなかった, Smart
危ない	あぶないです, あぶなくない, あぶなくて, あぶなかった, あぶなくなかった, Dangerous
痛い	いたいです, いたくない, いたくて, いたかった, いたくなかった, Painful
眠い	ねむいです, ねむくない, ねむくて, ねむかった, ねむくなかった, Sleepy
強い	つよいです, つよくない, つよくて, つよかった, つよくなかった, Strong
弱い	よわいです, よわくない, よわくて, よわかった, よわくなかった, Weak
調子がいい	ちょうしがいいです, ちょうしがよくない, ちょうしがよくて, ちょうしがよかった, ちょうしがよくなかった, Doing well
調子が悪い	ちょうしがわるいです, ちょうしがわるくない, ちょうしがわるくて, ちょうしがわるかった, ちょうしがわるくなかった, Not doing well
体にいい	からだにいいです, からだによくない, からだによくて, からだによかった, からだによくなかった, Healthy
すごい	すごいです, すごくない, すごくて, すごかった, すごくなかった, Great
悲しい	かなしいです, かなしくない, かなしくて, かなしかった, かなしくなかった, Sad
