#separator:tab
#html:false
#columns:Front	Back
暇	ひまです, ひまじゃない, ひまで, ひまだった, ひまじゃなかった, Bored/nothing to do
元気	げんきです, げんきじゃない, げんきで, げんきだった, げんきじゃなかった, Energetic
有名	ゆうめいです, ゆうめいじゃない, ゆうめいで, ゆうめいだった, ゆうめいじゃなかった, Famous
きれい	きれいです, きれいじゃない, きれいで, きれいだった, きれいじゃなかった, Beautiful/Clean
にぎやか	にぎやかです, にぎやかじゃない, にぎやかで, にぎやかだった, にぎやかじゃなかった, Lively/good noise
静か	しずかです, しずかじゃない, しずかで, しずかだった, しずかじゃなかった, Quiet
ハンサム	ハンサムです, ハンサムじゃない, ハンサムで, ハンサムだった, ハンサムじゃなかった, Handsome
キュート	キュートです, キュートじゃない, キュートで, キュートだった, キュートじゃなかった, Cute
親切	しんせつです, しんせつじゃない, しんせつで, しんせつだった, しんせつじゃなかった, Kind
便利	べんりです, べんりじゃない, べんりで, べんりだった, べんりじゃなかった, Convenience
不便	ふべんです, ふべんじゃない, ふべんで, ふべんだった, ふべんじゃなかった, Inconvenience
素敵	すてきです, すてきじゃない, すてきで, すてきだった, すてきじゃなかった, Nice
好き	すきです, すきじゃない, すきで, すきだった, すきじゃなかった, Like
嫌い	きらいです, きらいじゃない, きらいで, きらいだった, きらいじゃなかった, Dislike
上手	じょうずです, じょうずじゃない, じょうずで, じょうずだった, じょうずじゃなかった, Good at
下手	へたです, へたじゃない, へたで, へただった, へたじゃなかった, Not good at
色々	いろいろです, いろいろじゃない, いろいろで, いろいろだった, いろいろじゃなかった, Various
簡単	かんたんです, かんたんじゃない, かんたんで, かんたんだった, かんたんじゃなかった, Easy
大変	たいへんです, たいへんじゃない, たいへんで, たいへんだった, たいへんじゃなかった, Hard
大切	たいせつです, たいせつじゃない, たいせつで, たいせつだった, たいせつじゃなかった, Important
大丈夫	だいじょうぶです, だいじょうぶじゃない, だいじょうぶで, だいじょうぶだった, だいじょうぶじゃなかった, Fine/Ok
無理	むりです, むりじゃない, むりで, むりだった, むりじゃなかった, Impossible
無駄	むだです, むだじゃない, むだで, むだだった, むだじゃなかった, Useless
同じ	おなじです, おなじじゃない, おなじで, おなじだった, おなじじゃなかった, Same
心配	しんぱいです, しんぱいじゃない, しんぱいで, しんぱいだった, しんぱいじゃなかった, Worry
真面目	まじめです, まじめじゃない, まじめで, まじめだった, まじめじゃなかった, Serious
熱心	ねっしんです, ねっしんじゃない, ねっしんで, ねっしんだった, ねっしんじゃなかった, Enthusiastic
十分	じゅうぶんです, じゅうぶんじゃない, じゅうぶんで, じゅうぶんだった, じゅうぶんじゃなかった, Enough
だめ	だめです, だめじゃない, だめで, だめだった, だめじゃなかった, Not good
楽しみ	たのしみです, たのしみじゃない, たのしみで, たのしみだった, たのしみじゃなかった, Look forward to
複雑	ふくざつです, ふくざつじゃない, ふくざつで, ふくざつだった, ふくざつじゃなかった, Complicated
変	へんです, へんじゃない, へんで, へんだった, へんじゃなかった, Strange
幸せ	しあわせです, しあわせじゃない, しあわせで, しあわせだった, しあわせじゃなかった, Happy
楽	らくです, らくじゃない, らくで, らくだった, らくじゃなかった, Easy work
安全	あんぜんです, あんぜんじゃない, あんぜんで, あんぜんだった, あんぜんじゃなかった, Safe
丁寧	ていねいです, ていねいじゃない, ていねいで, ていねいだった, ていねいじゃなかった, Polite
危険	きけんです, きけんじゃない, きけんで, きけんだった, きけんじゃなかった, Dangerous
いや	いやです, いやじゃない, いやで, いやだった, いやじゃなかった, Not like/not want
