#separator:tab
#html:false
#columns:Front	Back
美味しい	おいしいです, おいしくない, おいしくて, おいしかった, おいしくなかった, Delicious; このラーメンはおいしいです。(This ramen is delicious.)
かわいい	かわいいです, かわいくない, かわいくて, かわいかった, かわいくなかった, Cute/Pretty; この犬はかわいいです。(This dog is cute.)
暑い	あついです, あつくない, あつくて, あつかった, あつくなかった, Hot; 今日は暑いです。(Today is hot.)
寒い	さむいです, さむくない, さむくて, さむかった, さむくなかった, Cold; 冬は寒いです。(Winter is cold.)
冷たい	つめたいです, つめたくない, つめたくて, つめたかった, つめたくなかった, Cold (touch); この水は冷たいです。(This water is cold.)
高い	たかいです, たかくない, たかくて, たかかった, たかくなかった, High/Expensive; このかばんは高いです。(This bag is expensive.)
安い	やすいです, やすくない, やすくて, やすかった, やすくなかった, Cheap; この店は安いです。(This shop is cheap.)
低い	ひくいです, ひくくない, ひくくて, ひくかった, ひくくなかった, Low; 天井が低いです。(The ceiling is low.)
長い	ながいです, ながくない, ながくて, ながかった, ながくなかった, Long; 髪が長いです。(My hair is long.)
短い	みじかいです, みじかくない, みじかくて, みじかかった, みじかくなかった, Short; スカートが短いです。(The skirt is short.)
大きい	おおきいです, おおきくない, おおきくて, おおきかった, おおきくなかった, Big; この家は大きいです。(This house is big.)
小さい	ちいさいです, ちいさくない, ちいさくて, ちいさかった, ちいさくなかった, Small; この部屋は小さいです。(This room is small.)
早い	はやいです, はやくない, はやくて, はやかった, はやくなかった, Fast/Early; 朝が早いです。(The morning is early.)
遅い	おそいです, おそくない, おそくて, おそかった, おそくなかった, Slow; 電車が遅いです。(The train is slow.)
多い	おおいです, おおくない, おおくて, おおかった, おおくなかった, A lot/Much; 学生が多いです。(There are many students.)
少ない	すくないです, すくなくない, すくなくて, すくなかった, すくなくなかった, A little; 時間が少ないです。(There is little time.)
忙しい	いそがしいです, いそがしくない, いそがしくて, いそがしかった, いそがしくなかった, Busy; 今週は忙しいです。(I'm busy this week.)
新しい	あたらしいです, あたらしくない, あたらしくて, あたらしかった, あたらしくなかった, New; この車は新しいです。(This car is new.)
古い	ふるいです, ふるくない, ふるくて, ふるかった, ふるくなかった, Old; この建物は古いです。(This building is old.)
いい	いいです, よくない, よくて, よかった, よくなかった, Good; 天気がいいです。(The weather is good.)
悪い	わるいです, わるくない, わるくて, わるかった, わるくなかった, Bad; 天気が悪いです。(The weather is bad.)
難しい	むずかしいです, むずかしくない, むずかしくて, むずかしかった, むずかしくなかった, Difficult; 日本語は難しいです。(Japanese is difficult.)
易しい	やさしいです, やさしくない, やさしくて, やさしかった, やさしくなかった, Easy/Gentle; この問題は易しいです。(This question is easy.)
面白い	おもしろいです, おもしろくない, おもしろくて, おもしろかった, おもしろくなかった, Fun; この映画は面白いです。(This movie is fun.)
楽しい	たのしいです, たのしくない, たのしくて, たのしかった, たのしくなかった, Interesting; 旅行は楽しいです。(Traveling is fun.)
白い	しろいです, しろくない, しろくて, しろかった, しろくなかった, White; 雪は白いです。(Snow is white.)
赤い	あかいです, あかくない, あかくて, あかかった, あかくなかった, Red; りんごは赤いです。(The apple is red.)
黒い	くろいです, くろくない, くろくて, くろかった, くろくなかった, Black; 猫は黒いです。(The cat is black.)
青い	あおいです, あおくない, あおくて, あおかった, あおくなかった, Blue; 空は青いです。(The sky is blue.)
近い	ちかいです, ちかくない, ちかくて, ちかかった, ちかくなかった, Near/Close; 駅は近いです。(The station is close.)
遠い	とおいです, とおくない, とおくて, とおかった, とおくなかった, Far; 学校は遠いです。(The school is far.)
暖かい	あたたかいです, あたたかくない, あたたかくて, あたたかかった, あたたかくなかった, Warm; 今日は暖かいです。(Today is warm.)
涼しい	すずしいです, すずしくない, すずしくて, すずしかった, すずしくなかった, Cool; 秋は涼しいです。(Autumn is cool.)
甘い	あまいです, あまくない, あまくて, あまかった, あまくなかった, Sweet; このケーキは甘いです。(This cake is sweet.)
辛い	からいです, からくない, からくて, からかった, からくなかった, Spicy; カレーが辛いです。(The curry is spicy.)
重い	おもいです, おもくない, おもくて, おもかった, おもくなかった, Heavy; このかばんは重いです。(This bag is heavy.)
軽い	かるいです, かるくない, かるくて, かるかった, かるくなかった, Light; このかばんは軽いです。(This bag is light.)
欲しい／たい	ほしいです, ほしくない, ほしくて, ほしかった, ほしくなかった, Want; 新しい靴が欲しいです。(I want new shoes.)
広い	ひろいです, ひろくない, ひろくて, ひろかった, ひろくなかった, Wide; 部屋が広いです。(The room is spacious.)
狭い	せまいです, せまくない, せまくて, せまかった, せまくなかった, Narrow; 道が狭いです。(The road is narrow.)
若い	わかいです, わかくない, わかくて, わかかった, わかくなかった, Young; 彼は若いです。(He is young.)
明るい	あかるいです, あかるくない, あかるくて, あかるかった, あかるくなかった, Bright; この部屋は明るいです。(This room is bright.)
暗い	くらいです, くらくない, くらくて, くらかった, くらくなかった, Dark; 夜は暗いです。(Night is dark.)
