#separator:tab
#html:false
#columns:Front	Back
暇	ひまです, ひまじゃない, ひまで, ひまだった, ひまじゃなかった, Bored/nothing to do; 今日は暇です。(I'm free today.)
元気	げんきです, げんきじゃない, げんきで, げんきだった, げんきじゃなかった, Energetic; 彼は元気です。(He is energetic.)
有名	ゆうめいです, ゆうめいじゃない, ゆうめいで, ゆうめいだった, ゆうめいじゃなかった, Famous; この店は有名です。(This shop is famous.)
きれい	きれいです, きれいじゃない, きれいで, きれいだった, きれいじゃなかった, Beautiful/Clean; この部屋はきれいです。(This room is clean.)
にぎやか	にぎやかです, にぎやかじゃない, にぎやかで, にぎやかだった, にぎやかじゃなかった, Lively/good noise; この街はにぎやかです。(This town is lively.)
静か	しずかです, しずかじゃない, しずかで, しずかだった, しずかじゃなかった, Quiet; 図書館は静かです。(The library is quiet.)
ハンサム	ハンサムです, ハンサムじゃない, ハンサムで, ハンサムだった, ハンサムじゃなかった, Handsome; 彼はハンサムです。(He is handsome.)
キュート	キュートです, キュートじゃない, キュートで, キュートだった, キュートじゃなかった, Cute; その犬はキュートです。(That dog is cute.)
親切	しんせつです, しんせつじゃない, しんせつで, しんせつだった, しんせつじゃなかった, Kind; 彼女は親切です。(She is kind.)
便利	べんりです, べんりじゃない, べんりで, べんりだった, べんりじゃなかった, Convenience; このアプリは便利です。(This app is convenient.)
不便	ふべんです, ふべんじゃない, ふべんで, ふべんだった, ふべんじゃなかった, Inconvenience; ここは不便です。(This place is inconvenient.)
素敵	すてきです, すてきじゃない, すてきで, すてきだった, すてきじゃなかった, Nice; その服は素敵です。(Those clothes are nice.)
好き	すきです, すきじゃない, すきで, すきだった, すきじゃなかった, Like; 私は寿司が好きです。(I like sushi.)
嫌い	きらいです, きらいじゃない, きらいで, きらいだった, きらいじゃなかった, Dislike; 私は虫が嫌いです。(I dislike bugs.)
上手	じょうずです, じょうずじゃない, じょうずで, じょうずだった, じょうずじゃなかった, Good at; 彼はピアノが上手です。(He is good at piano.)
下手	へたです, へたじゃない, へたで, へただった, へたじゃなかった, Not good at; 私は料理が下手です。(I'm bad at cooking.)
色々	いろいろです, いろいろじゃない, いろいろで, いろいろだった, いろいろじゃなかった, Various; メニューは色々です。(The menu has various options.)
簡単	かんたんです, かんたんじゃない, かんたんで, かんたんだった, かんたんじゃなかった, Easy; この問題は簡単です。(This question is easy.)
大変	たいへんです, たいへんじゃない, たいへんで, たいへんだった, たいへんじゃなかった, Hard; 仕事が大変です。(Work is tough.)
大切	たいせつです, たいせつじゃない, たいせつで, たいせつだった, たいせつじゃなかった, Important; 家族が大切です。(Family is important.)
大丈夫	だいじょうぶです, だいじょうぶじゃない, だいじょうぶで, だいじょうぶだった, だいじょうぶじゃなかった, Fine/Ok; 大丈夫です。(I'm fine.)
無理	むりです, むりじゃない, むりで, むりだった, むりじゃなかった, Impossible; 今日は無理です。(Today is impossible for me.)
無駄	むだです, むだじゃない, むだで, むだだった, むだじゃなかった, Useless; その努力は無駄です。(That effort is wasted.)
同じ	おなじです, おなじじゃない, おなじで, おなじだった, おなじじゃなかった, Same; 私たちは同じクラスです。(We are in the same class.)
心配	しんぱいです, しんぱいじゃない, しんぱいで, しんぱいだった, しんぱいじゃなかった, Worry; 天気が心配です。(I'm worried about the weather.)
真面目	まじめです, まじめじゃない, まじめで, まじめだった, まじめじゃなかった, Serious; 彼は真面目です。(He is serious/diligent.)
熱心	ねっしんです, ねっしんじゃない, ねっしんで, ねっしんだった, ねっしんじゃなかった, Enthusiastic; 彼女は勉強に熱心です。(She is enthusiastic about studying.)
十分	じゅうぶんです, じゅうぶんじゃない, じゅうぶんで, じゅうぶんだった, じゅうぶんじゃなかった, Enough; これで十分です。(This is enough.)
だめ	だめです, だめじゃない, だめで, だめだった, だめじゃなかった, Not good; それはだめです。(That's no good.)
楽しみ	たのしみです, たのしみじゃない, たのしみで, たのしみだった, たのしみじゃなかった, Look forward to; 旅行が楽しみです。(I'm looking forward to the trip.)
複雑	ふくざつです, ふくざつじゃない, ふくざつで, ふくざつだった, ふくざつじゃなかった, Complicated; この問題は複雑です。(This problem is complicated.)
変	へんです, へんじゃない, へんで, へんだった, へんじゃなかった, Strange; その音は変です。(That sound is strange.)
幸せ	しあわせです, しあわせじゃない, しあわせで, しあわせだった, しあわせじゃなかった, Happy; 今、幸せです。(I'm happy now.)
楽	らくです, らくじゃない, らくで, らくだった, らくじゃなかった, Easy work; この仕事は楽です。(This job is easy/comfortable.)
安全	あんぜんです, あんぜんじゃない, あんぜんで, あんぜんだった, あんぜんじゃなかった, Safe; この道は安全です。(This road is safe.)
丁寧	ていねいです, ていねいじゃない, ていねいで, ていねいだった, ていねいじゃなかった, Polite; 彼女は丁寧です。(She is polite/courteous.)
危険	きけんです, きけんじゃない, きけんで, きけんだった, きけんじゃなかった, Dangerous; この場所は危険です。(This place is dangerous.)
いや	いやです, いやじゃない, いやで, いやだった, いやじゃなかった, Not like/not want; 行くのはいやです。(I don't want to go.)
