#separator:tab
#html:false
#columns:Front	Back
いい	いいです, よくない, よくて, よかった, よくなかった, Good; 天気がいいです。(The weather is good.)
悪い	わるいです, わるくない, わるくて, わるかった, わるくなかった, Bad; 天気が悪いです。(The weather is bad.)
大きい	おおきいです, おおきくない, おおきくて, おおきかった, おおきくなかった, Big; この家は大きいです。(This house is big.)
小さい	ちいさいです, ちいさくない, ちいさくて, ちいさかった, ちいさくなかった, Small; この部屋は小さいです。(This room is small.)
高い	たかいです, たかくない, たかくて, たかかった, たかくなかった, High/Expensive; このかばんは高いです。(This bag is expensive.)
安い	やすいです, やすくない, やすくて, やすかった, やすくなかった, Cheap; この店は安いです。(This shop is cheap.)
忙しい	いそがしいです, いそがしくない, いそがしくて, いそがしかった, いそがしくなかった, Busy; 今週は忙しいです。(I'm busy this week.)
新しい	あたらしいです, あたらしくない, あたらしくて, あたらしかった, あたらしくなかった, New; この車は新しいです。(This car is new.)
古い	ふるいです, ふるくない, ふるくて, ふるかった, ふるくなかった, Old; この建物は古いです。(This building is old.)
好き	すきです, すきじゃない, すきで, すきだった, すきじゃなかった, Like; 私は寿司が好きです。(I like sushi.)
嫌い	きらいです, きらいじゃない, きらいで, きらいだった, きらいじゃなかった, Dislike; 私は虫が嫌いです。(I dislike bugs.)
上手	じょうずです, じょうずじゃない, じょうずで, じょうずだった, じょうずじゃなかった, Good at; 彼はピアノが上手です。(He is good at piano.)
下手	へたです, へたじゃない, へたで, へただった, へたじゃなかった, Not good at; 私は料理が下手です。(I'm bad at cooking.)
大丈夫	だいじょうぶです, だいじょうぶじゃない, だいじょうぶで, だいじょうぶだった, だいじょうぶじゃなかった, Fine/Ok; 大丈夫です。(I'm fine.)
元気	げんきです, げんきじゃない, げんきで, げんきだった, げんきじゃなかった, Energetic; 彼は元気です。(He is energetic.)
きれい	きれいです, きれいじゃない, きれいで, きれいだった, きれいじゃなかった, Beautiful/Clean; この部屋はきれいです。(This room is clean.)
面白い	おもしろいです, おもしろくない, おもしろくて, おもしろかった, おもしろくなかった, Fun; この映画は面白いです。(This movie is fun.)
楽しい	たのしいです, たのしくない, たのしくて, たのしかった, たのしくなかった, Interesting; 旅行は楽しいです。(Traveling is fun.)
便利	べんりです, べんりじゃない, べんりで, べんりだった, べんりじゃなかった, Convenience; このアプリは便利です。(This app is convenient.)
大切	たいせつです, たいせつじゃない, たいせつで, たいせつだった, たいせつじゃなかった, Important; 家族が大切です。(Family is important.)
暑い	あついです, あつくない, あつくて, あつかった, あつくなかった, Hot; 今日は暑いです。(Today is hot.)
寒い	さむいです, さむくない, さむくて, さむかった, さむくなかった, Cold; 冬は寒いです。(Winter is cold.)
多い	おおいです, おおくない, おおくて, おおかった, おおくなかった, A lot/Much; 学生が多いです。(There are many students.)
少ない	すくないです, すくなくない, すくなくて, すくなかった, すくなくなかった, A little; 時間が少ないです。(There is little time.)
早い	はやいです, はやくない, はやくて, はやかった, はやくなかった, Fast/Early; 朝が早いです。(The morning is early.)
遅い	おそいです, おそくない, おそくて, おそかった, おそくなかった, Slow; 電車が遅いです。(The train is slow.)
近い	ちかいです, ちかくない, ちかくて, ちかかった, ちかくなかった, Near/Close; 駅は近いです。(The station is close.)
遠い	とおいです, とおくない, とおくて, とおかった, とおくなかった, Far; 学校は遠いです。(The school is far.)
長い	ながいです, ながくない, ながくて, ながかった, ながくなかった, Long; 髪が長いです。(My hair is long.)
短い	みじかいです, みじかくない, みじかくて, みじかかった, みじかくなかった, Short; スカートが短いです。(The skirt is short.)
重い	おもいです, おもくない, おもくて, おもかった, おもくなかった, Heavy; このかばんは重いです。(This bag is heavy.)
軽い	かるいです, かるくない, かるくて, かるかった, かるくなかった, Light; このかばんは軽いです。(This bag is light.)
強い	つよいです, つよくない, つよくて, つよかった, つよくなかった, Strong; 彼は強いです。(He is strong.)
弱い	よわいです, よわくない, よわくて, よわかった, よわくなかった, Weak; 私は数学が弱いです。(I'm weak at math.)
難しい	むずかしいです, むずかしくない, むずかしくて, むずかしかった, むずかしくなかった, Difficult; 日本語は難しいです。(Japanese is difficult.)
明るい	あかるいです, あかるくない, あかるくて, あかるかった, あかるくなかった, Bright; この部屋は明るいです。(This room is bright.)
暗い	くらいです, くらくない, くらくて, くらかった, くらくなかった, Dark; 夜は暗いです。(Night is dark.)
若い	わかいです, わかくない, わかくて, わかかった, わかくなかった, Young; 彼は若いです。(He is young.)
広い	ひろいです, ひろくない, ひろくて, ひろかった, ひろくなかった, Wide; 部屋が広いです。(The room is spacious.)
甘い	あまいです, あまくない, あまくて, あまかった, あまくなかった, Sweet; このケーキは甘いです。(This cake is sweet.)
辛い	からいです, からくない, からくて, からかった, からくなかった, Spicy; カレーが辛いです。(The curry is spicy.)
静か	しずかです, しずかじゃない, しずかで, しずかだった, しずかじゃなかった, Quiet; 図書館は静かです。(The library is quiet.)
有名	ゆうめいです, ゆうめいじゃない, ゆうめいで, ゆうめいだった, ゆうめいじゃなかった, Famous; この店は有名です。(This shop is famous.)
親切	しんせつです, しんせつじゃない, しんせつで, しんせつだった, しんせつじゃなかった, Kind; 彼女は親切です。(She is kind.)
簡単	かんたんです, かんたんじゃない, かんたんで, かんたんだった, かんたんじゃなかった, Easy; この問題は簡単です。(This question is easy.)
大変	たいへんです, たいへんじゃない, たいへんで, たいへんだった, たいへんじゃなかった, Hard; 仕事が大変です。(Work is tough.)
無理	むりです, むりじゃない, むりで, むりだった, むりじゃなかった, Impossible; 今日は無理です。(Today is impossible for me.)
同じ	おなじです, おなじじゃない, おなじで, おなじだった, おなじじゃなかった, Same; 私たちは同じクラスです。(We are in the same class.)
心配	しんぱいです, しんぱいじゃない, しんぱいで, しんぱいだった, しんぱいじゃなかった, Worry; 天気が心配です。(I'm worried about the weather.)
十分	じゅうぶんです, じゅうぶんじゃない, じゅうぶんで, じゅうぶんだった, じゅうぶんじゃなかった, Enough; これで十分です。(This is enough.)
だめ	だめです, だめじゃない, だめで, だめだった, だめじゃなかった, Not good; それはだめです。(That's no good.)
変	へんです, へんじゃない, へんで, へんだった, へんじゃなかった, Strange; その音は変です。(That sound is strange.)
幸せ	しあわせです, しあわせじゃない, しあわせで, しあわせだった, しあわせじゃなかった, Happy; 今、幸せです。(I'm happy now.)
楽	らくです, らくじゃない, らくで, らくだった, らくじゃなかった, Easy work; この仕事は楽です。(This job is easy/comfortable.)
安全	あんぜんです, あんぜんじゃない, あんぜんで, あんぜんだった, あんぜんじゃなかった, Safe; この道は安全です。(This road is safe.)
危険	きけんです, きけんじゃない, きけんで, きけんだった, きけんじゃなかった, Dangerous; この場所は危険です。(This place is dangerous.)
不便	ふべんです, ふべんじゃない, ふべんで, ふべんだった, ふべんじゃなかった, Inconvenience; ここは不便です。(This place is inconvenient.)
素敵	すてきです, すてきじゃない, すてきで, すてきだった, すてきじゃなかった, Nice; その服は素敵です。(Those clothes are nice.)
色々	いろいろです, いろいろじゃない, いろいろで, いろいろだった, いろいろじゃなかった, Various; メニューは色々です。(The menu has various options.)
真面目	まじめです, まじめじゃない, まじめで, まじめだった, まじめじゃなかった, Serious; 彼は真面目です。(He is serious/diligent.)
危ない	あぶないです, あぶなくない, あぶなくて, あぶなかった, あぶなくなかった, Dangerous; この道は危ないです。(This road is dangerous.)
痛い	いたいです, いたくない, いたくて, いたかった, いたくなかった, Painful; 頭が痛いです。(My head hurts.)
眠い	ねむいです, ねむくない, ねむくて, ねむかった, ねむくなかった, Sleepy; 今、眠いです。(I'm sleepy now.)
冷たい	つめたいです, つめたくない, つめたくて, つめたかった, つめたくなかった, Cold (touch); この水は冷たいです。(This water is cold.)
狭い	せまいです, せまくない, せまくて, せまかった, せまくなかった, Narrow; 道が狭いです。(The road is narrow.)
欲しい／たい	ほしいです, ほしくない, ほしくて, ほしかった, ほしくなかった, Want; 新しい靴が欲しいです。(I want new shoes.)
頭がいい	あたまがいいです, あたまがよくない, あたまがよくて, あたまがよかった, あたまがよくなかった, Smart; 彼女は頭がいいです。(She is smart.)
気分がいい	きぶんがいいです, きぶんがよくない, きぶんがよくて, きぶんがよかった, きぶんがよくなかった, Feel good; 今、気分がいいです。(I feel good now.)
気分が悪い	きぶんがわるいです, きぶんがわるくない, きぶんがわるくて, きぶんがわるかった, きぶんがわるくなかった, Feel bad; 今、気分が悪いです。(I feel sick now.)
都合がいい	つごうがいいです, つごうがよくない, つごうがよくて, つごうがよかった, つごうがよくなかった, Convenient; 明日は都合がいいです。(Tomorrow works for me.)
都合が悪い	つごうがわるいです, つごうがわるくない, つごうがわるくて, つごうがわるかった, つごうがわるくなかった, Inconvenient; 今週は都合が悪いです。(This week doesn't work for me.)
調子がいい	ちょうしがいいです, ちょうしがよくない, ちょうしがよくて, ちょうしがよかった, ちょうしがよくなかった, Doing well; 今日は調子がいいです。(I'm feeling good today.)
調子が悪い	ちょうしがわるいです, ちょうしがわるくない, ちょうしがわるくて, ちょうしがわるかった, ちょうしがわるくなかった, Not doing well; 今日は調子が悪いです。(I'm not feeling well today.)
気持ちがいい	きもちがいいです, きもちがよくない, きもちがよくて, きもちがよかった, きもちがよくなかった, Feel good; 風が気持ちがいいです。(The breeze feels good.)
気持ちが悪い	きもちがわるいです, きもちがわるくない, きもちがわるくて, きもちがわるかった, きもちがわるくなかった, Feel bad; 気持ちが悪いです。(I feel sick/nauseous.)
体にいい	からだにいいです, からだによくない, からだによくて, からだによかった, からだによくなかった, Healthy; 野菜は体にいいです。(Vegetables are good for your health.)
汚い	きたないです, きたなくない, きたなくて, きたなかった, きたなくなかった, Dirty; この部屋は汚いです。(This room is dirty.)
嬉しい	うれしいです, うれしくない, うれしくて, うれしかった, うれしくなかった, Happy; 会えて嬉しいです。(I'm happy to meet you.)
悲しい	かなしいです, かなしくない, かなしくて, かなしかった, かなしくなかった, Sad; その話は悲しいです。(That story is sad.)
すごい	すごいです, すごくない, すごくて, すごかった, すごくなかった, Great; その景色はすごいです。(That view is amazing.)
正しい	ただしいです, ただしくない, ただしくて, ただしかった, ただしくなかった, Correct; あなたの答えは正しいです。(Your answer is correct.)
美しい	うつくしいです, うつくしくない, うつくしくて, うつくしかった, うつくしくなかった, Beautiful; その景色は美しいです。(That view is beautiful.)
にぎやか	にぎやかです, にぎやかじゃない, にぎやかで, にぎやかだった, にぎやかじゃなかった, Lively/good noise; この街はにぎやかです。(This town is lively.)
ハンサム	ハンサムです, ハンサムじゃない, ハンサムで, ハンサムだった, ハンサムじゃなかった, Handsome; 彼はハンサムです。(He is handsome.)
キュート	キュートです, キュートじゃない, キュートで, キュートだった, キュートじゃなかった, Cute; その犬はキュートです。(That dog is cute.)
無駄	むだです, むだじゃない, むだで, むだだった, むだじゃなかった, Useless; その努力は無駄です。(That effort is wasted.)
熱心	ねっしんです, ねっしんじゃない, ねっしんで, ねっしんだった, ねっしんじゃなかった, Enthusiastic; 彼女は勉強に熱心です。(She is enthusiastic about studying.)
楽しみ	たのしみです, たのしみじゃない, たのしみで, たのしみだった, たのしみじゃなかった, Look forward to; 旅行が楽しみです。(I'm looking forward to the trip.)
複雑	ふくざつです, ふくざつじゃない, ふくざつで, ふくざつだった, ふくざつじゃなかった, Complicated; この問題は複雑です。(This problem is complicated.)
丁寧	ていねいです, ていねいじゃない, ていねいで, ていねいだった, ていねいじゃなかった, Polite; 彼女は丁寧です。(She is polite/courteous.)
いや	いやです, いやじゃない, いやで, いやだった, いやじゃなかった, Not like/not want; 行くのはいやです。(I don't want to go.)
暇	ひまです, ひまじゃない, ひまで, ひまだった, ひまじゃなかった, Bored/nothing to do; 今日は暇です。(I'm free today.)
美味しい	おいしいです, おいしくない, おいしくて, おいしかった, おいしくなかった, Delicious; このラーメンはおいしいです。(This ramen is delicious.)
かわいい	かわいいです, かわいくない, かわいくて, かわいかった, かわいくなかった, Cute/Pretty; この犬はかわいいです。(This dog is cute.)
低い	ひくいです, ひくくない, ひくくて, ひくかった, ひくくなかった, Low; 天井が低いです。(The ceiling is low.)
易しい	やさしいです, やさしくない, やさしくて, やさしかった, やさしくなかった, Easy/Gentle; この問題は易しいです。(This question is easy.)
白い	しろいです, しろくない, しろくて, しろかった, しろくなかった, White; 雪は白いです。(Snow is white.)
赤い	あかいです, あかくない, あかくて, あかかった, あかくなかった, Red; りんごは赤いです。(The apple is red.)
黒い	くろいです, くろくない, くろくて, くろかった, くろくなかった, Black; 猫は黒いです。(The cat is black.)
青い	あおいです, あおくない, あおくて, あおかった, あおくなかった, Blue; 空は青いです。(The sky is blue.)
暖かい	あたたかいです, あたたかくない, あたたかくて, あたたかかった, あたたかくなかった, Warm; 今日は暖かいです。(Today is warm.)
涼しい	すずしいです, すずしくない, すずしくて, すずしかった, すずしくなかった, Cool; 秋は涼しいです。(Autumn is cool.)
背が高い	せがたかいです, せがたかくない, せがたかくて, せがたかかった, せがたかくなかった, Tall; 兄は背が高いです。(My brother is tall.)
背が低い	せがひくいです, せがひくくない, せがひくくて, せがひくかった, せがひくくなかった, Short; 妹は背が低いです。(My sister is short.)
偉い	えらいです, えらくない, えらくて, えらかった, えらくなかった, Great (person); あの先生は偉いです。(That teacher is admirable.)
ちょうどいい	ちょうどいいです, ちょうどよくない, ちょうどよくて, ちょうどよかった, ちょうどよくなかった, Just right (size/time); このサイズはちょうどいいです。(This size is just right.)
うるさい	うるさいです, うるさくない, うるさくて, うるさかった, うるさくなかった, Noisy; この道はうるさいです。(This street is noisy.)
おかしい	おかしいです, おかしくない, おかしくて, おかしかった, おかしくなかった, Strange; その話はおかしいです。(That story is strange.)
苦い	にがいです, にがくない, にがくて, にがかった, にがくなかった, Bitter; この薬は苦いです。(This medicine is bitter.)
寂しい	さびしいです, さびしくない, さびしくて, さびしかった, さびしくなかった, Lonely; 一人で寂しいです。(I feel lonely by myself.)
恥ずかしい	はずかしいです, はずかしくない, はずかしくて, はずかしかった, はずかしくなかった, Embarrassed; 恥ずかしいです。(I'm embarrassed.)
固い	かたいです, かたくない, かたくて, かたかった, かたくなかった, Hard; このパンは固いです。(This bread is hard.)
柔らかい	やわらかいです, やわらかくない, やわらかくて, やわらかかった, やわらかくなかった, Soft; このソファは柔らかいです。(This sofa is soft.)
珍しい	めずらしいです, めずらしくない, めずらしくて, めずらしかった, めずらしくなかった, Rare; この花は珍しいです。(This flower is rare.)
うまい	うまいです, うまくない, うまくて, うまかった, うまくなかった, Tasty; この料理はうまいです。(This dish is delicious.)
まずい	まずいです, まずくない, まずくて, まずかった, まずくなかった, Not tasty; この料理はまずいです。(This dish tastes bad.)
濃い	こいです, こくない, こくて, こかった, こくなかった, Strong flavor; このコーヒーは濃いです。(This coffee is strong.)
薄い	うすいです, うすくない, うすくて, うすかった, うすくなかった, Little taste; このスープは薄いです。(This soup is bland.)
太い	ふといです, ふとくない, ふとくて, ふとかった, ふとくなかった, Thick; この木は太いです。(This tree is thick.)
細い・薄い	ほそいです, ほそくない, ほそくて, ほそかった, ほそくなかった, Thin; この紐は細いです。(This string is thin.)
ひどい	ひどいです, ひどくない, ひどくて, ひどかった, ひどくなかった, Awful; その事故はひどいです。(That accident is terrible.)
怖い	こわいです, こわくない, こわくて, こわかった, こわくなかった, Scary; この映画は怖いです。(This movie is scary.)
厳しい	きびしいです, きびしくない, きびしくて, きびしかった, きびしくなかった, Strict; 先生は厳しいです。(The teacher is strict.)
