#separator:tab
#html:false
#columns:Front	Back
いい	いいです, よくない, よくて, よかった, よくなかった, Good; 天気がいいです。(The weather is good.)
悪い	わるいです, わるくない, わるくて, わるかった, わるくなかった, Bad; 天気が悪いです。(The weather is bad.)
大きい	おおきいです, おおきくない, おおきくて, おおきかった, おおきくなかった, Big; この家は大きいです。(This house is big.)
小さい	ちいさいです, ちいさくない, ちいさくて, ちいさかった, ちいさくなかった, Small; この部屋は小さいです。(This room is small.)
高い	たかいです, たかくない, たかくて, たかかった, たかくなかった, High/Expensive; このかばんは高いです。(This bag is expensive.)
安い	やすいです, やすくない, やすくて, やすかった, やすくなかった, Cheap; この店は安いです。(This shop is cheap.)
忙しい	いそがしいです, いそがしくない, いそがしくて, いそがしかった, いそがしくなかった, Busy; 今週は忙しいです。(I'm busy this week.)
新しい	あたらしいです, あたらしくない, あたらしくて, あたらしかった, あたらしくなかった, New; この車は新しいです。(This car is new.)
古い	ふるいです, ふるくない, ふるくて, ふるかった, ふるくなかった, Old; この建物は古いです。(This building is old.)
好き	すきです, すきじゃない, すきで, すきだった, すきじゃなかった, Like; 私は寿司が好きです。(I like sushi.)
嫌い	きらいです, きらいじゃない, きらいで, きらいだった, きらいじゃなかった, Dislike; 私は虫が嫌いです。(I dislike bugs.)
上手	じょうずです, じょうずじゃない, じょうずで, じょうずだった, じょうずじゃなかった, Good at; 彼はピアノが上手です。(He is good at piano.)
下手	へたです, へたじゃない, へたで, へただった, へたじゃなかった, Not good at; 私は料理が下手です。(I'm bad at cooking.)
大丈夫	だいじょうぶです, だいじょうぶじゃない, だいじょうぶで, だいじょうぶだった, だいじょうぶじゃなかった, Fine/Ok; 大丈夫です。(I'm fine.)
元気	げんきです, げんきじゃない, げんきで, げんきだった, げんきじゃなかった, Energetic; 彼は元気です。(He is energetic.)
きれい	きれいです, きれいじゃない, きれいで, きれいだった, きれいじゃなかった, Beautiful/Clean; この部屋はきれいです。(This room is clean.)
面白い	おもしろいです, おもしろくない, おもしろくて, おもしろかった, おもしろくなかった, Fun; この映画は面白いです。(This movie is fun.)
楽しい	たのしいです, たのしくない, たのしくて, たのしかった, たのしくなかった, Interesting; 旅行は楽しいです。(Traveling is fun.)
便利	べんりです, べんりじゃない, べんりで, べんりだった, べんりじゃなかった, Convenience; このアプリは便利です。(This app is convenient.)
大切	たいせつです, たいせつじゃない, たいせつで, たいせつだった, たいせつじゃなかった, Important; 家族が大切です。(Family is important.)
暑い	あついです, あつくない, あつくて, あつかった, あつくなかった, Hot; 今日は暑いです。(Today is hot.)
寒い	さむいです, さむくない, さむくて, さむかった, さむくなかった, Cold; 冬は寒いです。(Winter is cold.)
多い	おおいです, おおくない, おおくて, おおかった, おおくなかった, A lot/Much; 学生が多いです。(There are many students.)
少ない	すくないです, すくなくない, すくなくて, すくなかった, すくなくなかった, A little; 時間が少ないです。(There is little time.)
早い	はやいです, はやくない, はやくて, はやかった, はやくなかった, Fast/Early; 朝が早いです。(The morning is early.)
遅い	おそいです, おそくない, おそくて, おそかった, おそくなかった, Slow; 電車が遅いです。(The train is slow.)
近い	ちかいです, ちかくない, ちかくて, ちかかった, ちかくなかった, Near/Close; 駅は近いです。(The station is close.)
遠い	とおいです, とおくない, とおくて, とおかった, とおくなかった, Far; 学校は遠いです。(The school is far.)
長い	ながいです, ながくない, ながくて, ながかった, ながくなかった, Long; 髪が長いです。(My hair is long.)
短い	みじかいです, みじかくない, みじかくて, みじかかった, みじかくなかった, Short; スカートが短いです。(The skirt is short.)
重い	おもいです, おもくない, おもくて, おもかった, おもくなかった, Heavy; このかばんは重いです。(This bag is heavy.)
軽い	かるいです, かるくない, かるくて, かるかった, かるくなかった, Light; このかばんは軽いです。(This bag is light.)
強い	つよいです, つよくない, つよくて, つよかった, つよくなかった, Strong; 彼は強いです。(He is strong.)
弱い	よわいです, よわくない, よわくて, よわかった, よわくなかった, Weak; 私は数学が弱いです。(I'm weak at math.)
難しい	むずかしいです, むずかしくない, むずかしくて, むずかしかった, むずかしくなかった, Difficult; 日本語は難しいです。(Japanese is difficult.)
明るい	あかるいです, あかるくない, あかるくて, あかるかった, あかるくなかった, Bright; この部屋は明るいです。(This room is bright.)
暗い	くらいです, くらくない, くらくて, くらかった, くらくなかった, Dark; 夜は暗いです。(Night is dark.)
若い	わかいです, わかくない, わかくて, わかかった, わかくなかった, Young; 彼は若いです。(He is young.)
広い	ひろいです, ひろくない, ひろくて, ひろかった, ひろくなかった, Wide; 部屋が広いです。(The room is spacious.)
甘い	あまいです, あまくない, あまくて, あまかった, あまくなかった, Sweet; このケーキは甘いです。(This cake is sweet.)
辛い	からいです, からくない, からくて, からかった, からくなかった, Spicy; カレーが辛いです。(The curry is spicy.)
