#separator:tab
#html:false
#columns:Front	Back
静か	しずかです, しずかじゃない, しずかで, しずかだった, しずかじゃなかった, Quiet; 図書館は静かです。(The library is quiet.)
有名	ゆうめいです, ゆうめいじゃない, ゆうめいで, ゆうめいだった, ゆうめいじゃなかった, Famous; この店は有名です。(This shop is famous.)
親切	しんせつです, しんせつじゃない, しんせつで, しんせつだった, しんせつじゃなかった, Kind; 彼女は親切です。(She is kind.)
簡単	かんたんです, かんたんじゃない, かんたんで, かんたんだった, かんたんじゃなかった, Easy; この問題は簡単です。(This question is easy.)
大変	たいへんです, たいへんじゃない, たいへんで, たいへんだった, たいへんじゃなかった, Hard; 仕事が大変です。(Work is tough.)
無理	むりです, むりじゃない, むりで, むりだった, むりじゃなかった, Impossible; 今日は無理です。(Today is impossible for me.)
同じ	おなじです, おなじじゃない, おなじで, おなじだった, おなじじゃなかった, Same; 私たちは同じクラスです。(We are in the same class.)
心配	しんぱいです, しんぱいじゃない, しんぱいで, しんぱいだった, しんぱいじゃなかった, Worry; 天気が心配です。(I'm worried about the weather.)
十分	じゅうぶんです, じゅうぶんじゃない, じゅうぶんで, じゅうぶんだった, じゅうぶんじゃなかった, Enough; これで十分です。(This is enough.)
だめ	だめです, だめじゃない, だめで, だめだった, だめじゃなかった, Not good; それはだめです。(That's no good.)
変	へんです, へんじゃない, へんで, へんだった, へんじゃなかった, Strange; その音は変です。(That sound is strange.)
幸せ	しあわせです, しあわせじゃない, しあわせで, しあわせだった, しあわせじゃなかった, Happy; 今、幸せです。(I'm happy now.)
楽	らくです, らくじゃない, らくで, らくだった, らくじゃなかった, Easy work; この仕事は楽です。(This job is easy/comfortable.)
安全	あんぜんです, あんぜんじゃない, あんぜんで, あんぜんだった, あんぜんじゃなかった, Safe; この道は安全です。(This road is safe.)
危険	きけんです, きけんじゃない, きけんで, きけんだった, きけんじゃなかった, Dangerous; この場所は危険です。(This place is dangerous.)
不便	ふべんです, ふべんじゃない, ふべんで, ふべんだった, ふべんじゃなかった, Inconvenience; ここは不便です。(This place is inconvenient.)
素敵	すてきです, すてきじゃない, すてきで, すてきだった, すてきじゃなかった, Nice; その服は素敵です。(Those clothes are nice.)
色々	いろいろです, いろいろじゃない, いろいろで, いろいろだった, いろいろじゃなかった, Various; メニューは色々です。(The menu has various options.)
真面目	まじめです, まじめじゃない, まじめで, まじめだった, まじめじゃなかった, Serious; 彼は真面目です。(He is serious/diligent.)
危ない	あぶないです, あぶなくない, あぶなくて, あぶなかった, あぶなくなかった, Dangerous; この道は危ないです。(This road is dangerous.)
痛い	いたいです, いたくない, いたくて, いたかった, いたくなかった, Painful; 頭が痛いです。(My head hurts.)
眠い	ねむいです, ねむくない, ねむくて, ねむかった, ねむくなかった, Sleepy; 今、眠いです。(I'm sleepy now.)
冷たい	つめたいです, つめたくない, つめたくて, つめたかった, つめたくなかった, Cold (touch); この水は冷たいです。(This water is cold.)
狭い	せまいです, せまくない, せまくて, せまかった, せまくなかった, Narrow; 道が狭いです。(The road is narrow.)
欲しい／たい	ほしいです, ほしくない, ほしくて, ほしかった, ほしくなかった, Want; 新しい靴が欲しいです。(I want new shoes.)
頭がいい	あたまがいいです, あたまがよくない, あたまがよくて, あたまがよかった, あたまがよくなかった, Smart; 彼女は頭がいいです。(She is smart.)
気分がいい	きぶんがいいです, きぶんがよくない, きぶんがよくて, きぶんがよかった, きぶんがよくなかった, Feel good; 今、気分がいいです。(I feel good now.)
気分が悪い	きぶんがわるいです, きぶんがわるくない, きぶんがわるくて, きぶんがわるかった, きぶんがわるくなかった, Feel bad; 今、気分が悪いです。(I feel sick now.)
都合がいい	つごうがいいです, つごうがよくない, つごうがよくて, つごうがよかった, つごうがよくなかった, Convenient; 明日は都合がいいです。(Tomorrow works for me.)
都合が悪い	つごうがわるいです, つごうがわるくない, つごうがわるくて, つごうがわるかった, つごうがわるくなかった, Inconvenient; 今週は都合が悪いです。(This week doesn't work for me.)
調子がいい	ちょうしがいいです, ちょうしがよくない, ちょうしがよくて, ちょうしがよかった, ちょうしがよくなかった, Doing well; 今日は調子がいいです。(I'm feeling good today.)
調子が悪い	ちょうしがわるいです, ちょうしがわるくない, ちょうしがわるくて, ちょうしがわるかった, ちょうしがわるくなかった, Not doing well; 今日は調子が悪いです。(I'm not feeling well today.)
気持ちがいい	きもちがいいです, きもちがよくない, きもちがよくて, きもちがよかった, きもちがよくなかった, Feel good; 風が気持ちがいいです。(The breeze feels good.)
気持ちが悪い	きもちがわるいです, きもちがわるくない, きもちがわるくて, きもちがわるかった, きもちがわるくなかった, Feel bad; 気持ちが悪いです。(I feel sick/nauseous.)
体にいい	からだにいいです, からだによくない, からだによくて, からだによかった, からだによくなかった, Healthy; 野菜は体にいいです。(Vegetables are good for your health.)
汚い	きたないです, きたなくない, きたなくて, きたなかった, きたなくなかった, Dirty; この部屋は汚いです。(This room is dirty.)
嬉しい	うれしいです, うれしくない, うれしくて, うれしかった, うれしくなかった, Happy; 会えて嬉しいです。(I'm happy to meet you.)
悲しい	かなしいです, かなしくない, かなしくて, かなしかった, かなしくなかった, Sad; その話は悲しいです。(That story is sad.)
すごい	すごいです, すごくない, すごくて, すごかった, すごくなかった, Great; その景色はすごいです。(That view is amazing.)
正しい	ただしいです, ただしくない, ただしくて, ただしかった, ただしくなかった, Correct; あなたの答えは正しいです。(Your answer is correct.)
美しい	うつくしいです, うつくしくない, うつくしくて, うつくしかった, うつくしくなかった, Beautiful; その景色は美しいです。(That view is beautiful.)
