#separator:tab
#html:false
#columns:Front	Back
にぎやか	にぎやかです, にぎやかじゃない, にぎやかで, にぎやかだった, にぎやかじゃなかった, Lively/good noise; この街はにぎやかです。(This town is lively.)
ハンサム	ハンサムです, ハンサムじゃない, ハンサムで, ハンサムだった, ハンサムじゃなかった, Handsome; 彼はハンサムです。(He is handsome.)
キュート	キュートです, キュートじゃない, キュートで, キュートだった, キュートじゃなかった, Cute; その犬はキュートです。(That dog is cute.)
無駄	むだです, むだじゃない, むだで, むだだった, むだじゃなかった, Useless; その努力は無駄です。(That effort is wasted.)
熱心	ねっしんです, ねっしんじゃない, ねっしんで, ねっしんだった, ねっしんじゃなかった, Enthusiastic; 彼女は勉強に熱心です。(She is enthusiastic about studying.)
楽しみ	たのしみです, たのしみじゃない, たのしみで, たのしみだった, たのしみじゃなかった, Look forward to; 旅行が楽しみです。(I'm looking forward to the trip.)
複雑	ふくざつです, ふくざつじゃない, ふくざつで, ふくざつだった, ふくざつじゃなかった, Complicated; この問題は複雑です。(This problem is complicated.)
丁寧	ていねいです, ていねいじゃない, ていねいで, ていねいだった, ていねいじゃなかった, Polite; 彼女は丁寧です。(She is polite/courteous.)
いや	いやです, いやじゃない, いやで, いやだった, いやじゃなかった, Not like/not want; 行くのはいやです。(I don't want to go.)
暇	ひまです, ひまじゃない, ひまで, ひまだった, ひまじゃなかった, Bored/nothing to do; 今日は暇です。(I'm free today.)
美味しい	おいしいです, おいしくない, おいしくて, おいしかった, おいしくなかった, Delicious; このラーメンはおいしいです。(This ramen is delicious.)
かわいい	かわいいです, かわいくない, かわいくて, かわいかった, かわいくなかった, Cute/Pretty; この犬はかわいいです。(This dog is cute.)
低い	ひくいです, ひくくない, ひくくて, ひくかった, ひくくなかった, Low; 天井が低いです。(The ceiling is low.)
易しい	やさしいです, やさしくない, やさしくて, やさしかった, やさしくなかった, Easy/Gentle; この問題は易しいです。(This question is easy.)
白い	しろいです, しろくない, しろくて, しろかった, しろくなかった, White; 雪は白いです。(Snow is white.)
赤い	あかいです, あかくない, あかくて, あかかった, あかくなかった, Red; りんごは赤いです。(The apple is red.)
黒い	くろいです, くろくない, くろくて, くろかった, くろくなかった, Black; 猫は黒いです。(The cat is black.)
青い	あおいです, あおくない, あおくて, あおかった, あおくなかった, Blue; 空は青いです。(The sky is blue.)
暖かい	あたたかいです, あたたかくない, あたたかくて, あたたかかった, あたたかくなかった, Warm; 今日は暖かいです。(Today is warm.)
涼しい	すずしいです, すずしくない, すずしくて, すずしかった, すずしくなかった, Cool; 秋は涼しいです。(Autumn is cool.)
背が高い	せがたかいです, せがたかくない, せがたかくて, せがたかかった, せがたかくなかった, Tall; 兄は背が高いです。(My brother is tall.)
背が低い	せがひくいです, せがひくくない, せがひくくて, せがひくかった, せがひくくなかった, Short; 妹は背が低いです。(My sister is short.)
偉い	えらいです, えらくない, えらくて, えらかった, えらくなかった, Great (person); あの先生は偉いです。(That teacher is admirable.)
ちょうどいい	ちょうどいいです, ちょうどよくない, ちょうどよくて, ちょうどよかった, ちょうどよくなかった, Just right (size/time); このサイズはちょうどいいです。(This size is just right.)
うるさい	うるさいです, うるさくない, うるさくて, うるさかった, うるさくなかった, Noisy; この道はうるさいです。(This street is noisy.)
おかしい	おかしいです, おかしくない, おかしくて, おかしかった, おかしくなかった, Strange; その話はおかしいです。(That story is strange.)
苦い	にがいです, にがくない, にがくて, にがかった, にがくなかった, Bitter; この薬は苦いです。(This medicine is bitter.)
寂しい	さびしいです, さびしくない, さびしくて, さびしかった, さびしくなかった, Lonely; 一人で寂しいです。(I feel lonely by myself.)
恥ずかしい	はずかしいです, はずかしくない, はずかしくて, はずかしかった, はずかしくなかった, Embarrassed; 恥ずかしいです。(I'm embarrassed.)
固い	かたいです, かたくない, かたくて, かたかった, かたくなかった, Hard; このパンは固いです。(This bread is hard.)
柔らかい	やわらかいです, やわらかくない, やわらかくて, やわらかかった, やわらかくなかった, Soft; このソファは柔らかいです。(This sofa is soft.)
珍しい	めずらしいです, めずらしくない, めずらしくて, めずらしかった, めずらしくなかった, Rare; この花は珍しいです。(This flower is rare.)
うまい	うまいです, うまくない, うまくて, うまかった, うまくなかった, Tasty; この料理はうまいです。(This dish is delicious.)
まずい	まずいです, まずくない, まずくて, まずかった, まずくなかった, Not tasty; この料理はまずいです。(This dish tastes bad.)
濃い	こいです, こくない, こくて, こかった, こくなかった, Strong flavor; このコーヒーは濃いです。(This coffee is strong.)
薄い	うすいです, うすくない, うすくて, うすかった, うすくなかった, Little taste; このスープは薄いです。(This soup is bland.)
太い	ふといです, ふとくない, ふとくて, ふとかった, ふとくなかった, Thick; この木は太いです。(This tree is thick.)
細い・薄い	ほそいです, ほそくない, ほそくて, ほそかった, ほそくなかった, Thin; この紐は細いです。(This string is thin.)
ひどい	ひどいです, ひどくない, ひどくて, ひどかった, ひどくなかった, Awful; その事故はひどいです。(That accident is terrible.)
怖い	こわいです, こわくない, こわくて, こわかった, こわくなかった, Scary; この映画は怖いです。(This movie is scary.)
厳しい	きびしいです, きびしくない, きびしくて, きびしかった, きびしくなかった, Strict; 先生は厳しいです。(The teacher is strict.)
