#separator:tab
#html:true
#columns:Front	Back
<ruby>美味しい<rt>おいしい</rt></ruby>	おいしくない<br>おいしくて<br>おいしかった<br>おいしくなかった<br>Delicious; このラーメンはおいしいです。(This ramen is delicious.)
かわいい	かわいくない<br>かわいくて<br>かわいかった<br>かわいくなかった<br>Cute/Pretty; この犬はかわいいです。(This dog is cute.)
<ruby>暑い<rt>あつい</rt></ruby>	あつくない<br>あつくて<br>あつかった<br>あつくなかった<br>Hot; 今日は暑いです。(Today is hot.)
<ruby>寒い<rt>さむい</rt></ruby>	さむくない<br>さむくて<br>さむかった<br>さむくなかった<br>Cold; 冬は寒いです。(Winter is cold.)
<ruby>冷たい<rt>つめたい</rt></ruby>	つめたくない<br>つめたくて<br>つめたかった<br>つめたくなかった<br>Cold (touch); この水は冷たいです。(This water is cold.)
<ruby>高い<rt>たかい</rt></ruby>	たかくない<br>たかくて<br>たかかった<br>たかくなかった<br>High/Expensive; このかばんは高いです。(This bag is expensive.)
<ruby>安い<rt>やすい</rt></ruby>	やすくない<br>やすくて<br>やすかった<br>やすくなかった<br>Cheap; この店は安いです。(This shop is cheap.)
<ruby>低い<rt>ひくい</rt></ruby>	ひくくない<br>ひくくて<br>ひくかった<br>ひくくなかった<br>Low; 天井が低いです。(The ceiling is low.)
<ruby>長い<rt>ながい</rt></ruby>	ながくない<br>ながくて<br>ながかった<br>ながくなかった<br>Long; 髪が長いです。(My hair is long.)
<ruby>短い<rt>みじかい</rt></ruby>	みじかくない<br>みじかくて<br>みじかかった<br>みじかくなかった<br>Short; スカートが短いです。(The skirt is short.)
<ruby>大きい<rt>おおきい</rt></ruby>	おおきくない<br>おおきくて<br>おおきかった<br>おおきくなかった<br>Big; この家は大きいです。(This house is big.)
<ruby>小さい<rt>ちいさい</rt></ruby>	ちいさくない<br>ちいさくて<br>ちいさかった<br>ちいさくなかった<br>Small; この部屋は小さいです。(This room is small.)
<ruby>早い<rt>はやい</rt></ruby>	はやくない<br>はやくて<br>はやかった<br>はやくなかった<br>Fast/Early; 朝が早いです。(The morning is early.)
<ruby>遅い<rt>おそい</rt></ruby>	おそくない<br>おそくて<br>おそかった<br>おそくなかった<br>Slow; 電車が遅いです。(The train is slow.)
<ruby>多い<rt>おおい</rt></ruby>	おおくない<br>おおくて<br>おおかった<br>おおくなかった<br>A lot/Much; 学生が多いです。(There are many students.)
<ruby>少ない<rt>すくない</rt></ruby>	すくなくない<br>すくなくて<br>すくなかった<br>すくなくなかった<br>A little; 時間が少ないです。(There is little time.)
<ruby>忙しい<rt>いそがしい</rt></ruby>	いそがしくない<br>いそがしくて<br>いそがしかった<br>いそがしくなかった<br>Busy; 今週は忙しいです。(I'm busy this week.)
<ruby>新しい<rt>あたらしい</rt></ruby>	あたらしくない<br>あたらしくて<br>あたらしかった<br>あたらしくなかった<br>New; この車は新しいです。(This car is new.)
<ruby>古い<rt>ふるい</rt></ruby>	ふるくない<br>ふるくて<br>ふるかった<br>ふるくなかった<br>Old; この建物は古いです。(This building is old.)
いい	よくない<br>よくて<br>よかった<br>よくなかった<br>Good; 天気がいいです。(The weather is good.)
<ruby>悪い<rt>わるい</rt></ruby>	わるくない<br>わるくて<br>わるかった<br>わるくなかった<br>Bad; 天気が悪いです。(The weather is bad.)
<ruby>難しい<rt>むずかしい</rt></ruby>	むずかしくない<br>むずかしくて<br>むずかしかった<br>むずかしくなかった<br>Difficult; 日本語は難しいです。(Japanese is difficult.)
<ruby>易しい<rt>やさしい</rt></ruby>	やさしくない<br>やさしくて<br>やさしかった<br>やさしくなかった<br>Easy/Gentle; この問題は易しいです。(This question is easy.)
<ruby>面白い<rt>おもしろい</rt></ruby>	おもしろくない<br>おもしろくて<br>おもしろかった<br>おもしろくなかった<br>Fun; この映画は面白いです。(This movie is fun.)
<ruby>楽しい<rt>たのしい</rt></ruby>	たのしくない<br>たのしくて<br>たのしかった<br>たのしくなかった<br>Interesting; 旅行は楽しいです。(Traveling is fun.)
<ruby>白い<rt>しろい</rt></ruby>	しろくない<br>しろくて<br>しろかった<br>しろくなかった<br>White; 雪は白いです。(Snow is white.)
<ruby>赤い<rt>あかい</rt></ruby>	あかくない<br>あかくて<br>あかかった<br>あかくなかった<br>Red; りんごは赤いです。(The apple is red.)
<ruby>黒い<rt>くろい</rt></ruby>	くろくない<br>くろくて<br>くろかった<br>くろくなかった<br>Black; 猫は黒いです。(The cat is black.)
<ruby>青い<rt>あおい</rt></ruby>	あおくない<br>あおくて<br>あおかった<br>あおくなかった<br>Blue; 空は青いです。(The sky is blue.)
<ruby>近い<rt>ちかい</rt></ruby>	ちかくない<br>ちかくて<br>ちかかった<br>ちかくなかった<br>Near/Close; 駅は近いです。(The station is close.)
<ruby>遠い<rt>とおい</rt></ruby>	とおくない<br>とおくて<br>とおかった<br>とおくなかった<br>Far; 学校は遠いです。(The school is far.)
<ruby>暖かい<rt>あたたかい</rt></ruby>	あたたかくない<br>あたたかくて<br>あたたかかった<br>あたたかくなかった<br>Warm; 今日は暖かいです。(Today is warm.)
<ruby>涼しい<rt>すずしい</rt></ruby>	すずしくない<br>すずしくて<br>すずしかった<br>すずしくなかった<br>Cool; 秋は涼しいです。(Autumn is cool.)
<ruby>甘い<rt>あまい</rt></ruby>	あまくない<br>あまくて<br>あまかった<br>あまくなかった<br>Sweet; このケーキは甘いです。(This cake is sweet.)
<ruby>辛い<rt>からい</rt></ruby>	からくない<br>からくて<br>からかった<br>からくなかった<br>Spicy; カレーが辛いです。(The curry is spicy.)
<ruby>重い<rt>おもい</rt></ruby>	おもくない<br>おもくて<br>おもかった<br>おもくなかった<br>Heavy; このかばんは重いです。(This bag is heavy.)
<ruby>軽い<rt>かるい</rt></ruby>	かるくない<br>かるくて<br>かるかった<br>かるくなかった<br>Light; このかばんは軽いです。(This bag is light.)
<ruby>欲しい／たい<rt>ほしい</rt></ruby>	ほしくない<br>ほしくて<br>ほしかった<br>ほしくなかった<br>Want; 新しい靴が欲しいです。(I want new shoes.)
<ruby>広い<rt>ひろい</rt></ruby>	ひろくない<br>ひろくて<br>ひろかった<br>ひろくなかった<br>Wide; 部屋が広いです。(The room is spacious.)
<ruby>狭い<rt>せまい</rt></ruby>	せまくない<br>せまくて<br>せまかった<br>せまくなかった<br>Narrow; 道が狭いです。(The road is narrow.)
<ruby>若い<rt>わかい</rt></ruby>	わかくない<br>わかくて<br>わかかった<br>わかくなかった<br>Young; 彼は若いです。(He is young.)
<ruby>明るい<rt>あかるい</rt></ruby>	あかるくない<br>あかるくて<br>あかるかった<br>あかるくなかった<br>Bright; この部屋は明るいです。(This room is bright.)
<ruby>暗い<rt>くらい</rt></ruby>	くらくない<br>くらくて<br>くらかった<br>くらくなかった<br>Dark; 夜は暗いです。(Night is dark.)
<ruby>背が高い<rt>せがたかい</rt></ruby>	せがたかくない<br>せがたかくて<br>せがたかかった<br>せがたかくなかった<br>Tall; 兄は背が高いです。(My brother is tall.)
<ruby>背が低い<rt>せがひくい</rt></ruby>	せがひくくない<br>せがひくくて<br>せがひくかった<br>せがひくくなかった<br>Short; 妹は背が低いです。(My sister is short.)
<ruby>頭がいい<rt>あたまがよい</rt></ruby>	あたまがよくない<br>あたまがよくて<br>あたまがよかった<br>あたまがよくなかった<br>Smart; 彼女は頭がいいです。(She is smart.)
<ruby>危ない<rt>あぶない</rt></ruby>	あぶなくない<br>あぶなくて<br>あぶなかった<br>あぶなくなかった<br>Dangerous; この道は危ないです。(This road is dangerous.)
<ruby>痛い<rt>いたい</rt></ruby>	いたくない<br>いたくて<br>いたかった<br>いたくなかった<br>Painful; 頭が痛いです。(My head hurts.)
<ruby>眠い<rt>ねむい</rt></ruby>	ねむくない<br>ねむくて<br>ねむかった<br>ねむくなかった<br>Sleepy; 今、眠いです。(I'm sleepy now.)
<ruby>強い<rt>つよい</rt></ruby>	つよくない<br>つよくて<br>つよかった<br>つよくなかった<br>Strong; 彼は強いです。(He is strong.)
<ruby>弱い<rt>よわい</rt></ruby>	よわくない<br>よわくて<br>よわかった<br>よわくなかった<br>Weak; 私は数学が弱いです。(I'm weak at math.)
<ruby>調子がいい<rt>ちょうしがよい</rt></ruby>	ちょうしがよくない<br>ちょうしがよくて<br>ちょうしがよかった<br>ちょうしがよくなかった<br>Doing well; 今日は調子がいいです。(I'm feeling good today.)
<ruby>調子が悪い<rt>ちょうしがわるい</rt></ruby>	ちょうしがわるくない<br>ちょうしがわるくて<br>ちょうしがわるかった<br>ちょうしがわるくなかった<br>Not doing well; 今日は調子が悪いです。(I'm not feeling well today.)
<ruby>体にいい<rt>からだによい</rt></ruby>	からだによくない<br>からだによくて<br>からだによかった<br>からだによくなかった<br>Healthy; 野菜は体にいいです。(Vegetables are good for your health.)
すごい	すごくない<br>すごくて<br>すごかった<br>すごくなかった<br>Great; その景色はすごいです。(That view is amazing.)
<ruby>悲しい<rt>かなしい</rt></ruby>	かなしくない<br>かなしくて<br>かなしかった<br>かなしくなかった<br>Sad; その話は悲しいです。(That story is sad.)
<ruby>都合がいい<rt>つごうがよい</rt></ruby>	つごうがよくない<br>つごうがよくて<br>つごうがよかった<br>つごうがよくなかった<br>Convenient; 明日は都合がいいです。(Tomorrow works for me.)
<ruby>都合が悪い<rt>つごうがわるい</rt></ruby>	つごうがわるくない<br>つごうがわるくて<br>つごうがわるかった<br>つごうがわるくなかった<br>Inconvenient; 今週は都合が悪いです。(This week doesn't work for me.)
<ruby>気分がいい<rt>きぶんがよい</rt></ruby>	きぶんがよくない<br>きぶんがよくて<br>きぶんがよかった<br>きぶんがよくなかった<br>Feel good; 今、気分がいいです。(I feel good now.)
<ruby>気分が悪い<rt>きぶんがわるい</rt></ruby>	きぶんがわるくない<br>きぶんがわるくて<br>きぶんがわるかった<br>きぶんがわるくなかった<br>Feel bad; 今、気分が悪いです。(I feel sick now.)
<ruby>偉い<rt>えらい</rt></ruby>	えらくない<br>えらくて<br>えらかった<br>えらくなかった<br>Great (person); あの先生は偉いです。(That teacher is admirable.)
ちょうどいい	ちょうどよくない<br>ちょうどよくて<br>ちょうどよかった<br>ちょうどよくなかった<br>Just right (size/time); このサイズはちょうどいいです。(This size is just right.)
うるさい	うるさくない<br>うるさくて<br>うるさかった<br>うるさくなかった<br>Noisy; この道はうるさいです。(This street is noisy.)
おかしい	おかしくない<br>おかしくて<br>おかしかった<br>おかしくなかった<br>Strange; その話はおかしいです。(That story is strange.)
<ruby>苦い<rt>にがい</rt></ruby>	にがくない<br>にがくて<br>にがかった<br>にがくなかった<br>Bitter; この薬は苦いです。(This medicine is bitter.)
<ruby>正しい<rt>ただしい</rt></ruby>	ただしくない<br>ただしくて<br>ただしかった<br>ただしくなかった<br>Correct; あなたの答えは正しいです。(Your answer is correct.)
<ruby>美しい<rt>うつくしい</rt></ruby>	うつくしくない<br>うつくしくて<br>うつくしかった<br>うつくしくなかった<br>Beautiful; その景色は美しいです。(That view is beautiful.)
