#separator:tab
#html:true
#columns:Front	Back
<ruby>暇<rt>ひま</rt></ruby>	ひまだ<br>ひまじゃない<br>ひまで<br>ひまだった<br>ひまじゃなかった<br>Bored/nothing to do; 今日は暇です。(I'm free today.)
<ruby>元気<rt>げんき</rt></ruby>	げんきだ<br>げんきじゃない<br>げんきで<br>げんきだった<br>げんきじゃなかった<br>Energetic; 彼は元気です。(He is energetic.)
<ruby>有名<rt>ゆうめい</rt></ruby>	ゆうめいだ<br>ゆうめいじゃない<br>ゆうめいで<br>ゆうめいだった<br>ゆうめいじゃなかった<br>Famous; この店は有名です。(This shop is famous.)
きれい	きれいだ<br>きれいじゃない<br>きれいで<br>きれいだった<br>きれいじゃなかった<br>Beautiful/Clean; この部屋はきれいです。(This room is clean.)
にぎやか	にぎやかだ<br>にぎやかじゃない<br>にぎやかで<br>にぎやかだった<br>にぎやかじゃなかった<br>Lively/good noise; この街はにぎやかです。(This town is lively.)
<ruby>静か<rt>しずか</rt></ruby>	しずかだ<br>しずかじゃない<br>しずかで<br>しずかだった<br>しずかじゃなかった<br>Quiet; 図書館は静かです。(The library is quiet.)
ハンサム	ハンサムだ<br>ハンサムじゃない<br>ハンサムで<br>ハンサムだった<br>ハンサムじゃなかった<br>Handsome; 彼はハンサムです。(He is handsome.)
キュート	キュートだ<br>キュートじゃない<br>キュートで<br>キュートだった<br>キュートじゃなかった<br>Cute; その犬はキュートです。(That dog is cute.)
<ruby>親切<rt>しんせつ</rt></ruby>	しんせつだ<br>しんせつじゃない<br>しんせつで<br>しんせつだった<br>しんせつじゃなかった<br>Kind; 彼女は親切です。(She is kind.)
<ruby>便利<rt>べんり</rt></ruby>	べんりだ<br>べんりじゃない<br>べんりで<br>べんりだった<br>べんりじゃなかった<br>Convenience; このアプリは便利です。(This app is convenient.)
<ruby>不便<rt>ふべん</rt></ruby>	ふべんだ<br>ふべんじゃない<br>ふべんで<br>ふべんだった<br>ふべんじゃなかった<br>Inconvenience; ここは不便です。(This place is inconvenient.)
<ruby>素敵<rt>すてき</rt></ruby>	すてきだ<br>すてきじゃない<br>すてきで<br>すてきだった<br>すてきじゃなかった<br>Nice; その服は素敵です。(Those clothes are nice.)
<ruby>好き<rt>すき</rt></ruby>	すきだ<br>すきじゃない<br>すきで<br>すきだった<br>すきじゃなかった<br>Like; 私は寿司が好きです。(I like sushi.)
<ruby>嫌い<rt>きらい</rt></ruby>	きらいだ<br>きらいじゃない<br>きらいで<br>きらいだった<br>きらいじゃなかった<br>Dislike; 私は虫が嫌いです。(I dislike bugs.)
<ruby>上手<rt>じょうず</rt></ruby>	じょうずだ<br>じょうずじゃない<br>じょうずで<br>じょうずだった<br>じょうずじゃなかった<br>Good at; 彼はピアノが上手です。(He is good at piano.)
<ruby>下手<rt>へた</rt></ruby>	へただ<br>へたじゃない<br>へたで<br>へただった<br>へたじゃなかった<br>Not good at; 私は料理が下手です。(I'm bad at cooking.)
