#separator:tab
#html:true
#columns:Front	Back
いい	いいです<br>よくない<br>よくて<br>よかった<br>よくなかった<br>Good; 天気がいいです。(The weather is good.)
悪い	わるいです<br>わるくない<br>わるくて<br>わるかった<br>わるくなかった<br>Bad; 天気が悪いです。(The weather is bad.)
大きい	おおきいです<br>おおきくない<br>おおきくて<br>おおきかった<br>おおきくなかった<br>Big; この家は大きいです。(This house is big.)
小さい	ちいさいです<br>ちいさくない<br>ちいさくて<br>ちいさかった<br>ちいさくなかった<br>Small; この部屋は小さいです。(This room is small.)
高い	たかいです<br>たかくない<br>たかくて<br>たかかった<br>たかくなかった<br>High/Expensive; このかばんは高いです。(This bag is expensive.)
安い	やすいです<br>やすくない<br>やすくて<br>やすかった<br>やすくなかった<br>Cheap; この店は安いです。(This shop is cheap.)
忙しい	いそがしいです<br>いそがしくない<br>いそがしくて<br>いそがしかった<br>いそがしくなかった<br>Busy; 今週は忙しいです。(I'm busy this week.)
新しい	あたらしいです<br>あたらしくない<br>あたらしくて<br>あたらしかった<br>あたらしくなかった<br>New; この車は新しいです。(This car is new.)
古い	ふるいです<br>ふるくない<br>ふるくて<br>ふるかった<br>ふるくなかった<br>Old; この建物は古いです。(This building is old.)
好き	すきです<br>すきじゃない<br>すきで<br>すきだった<br>すきじゃなかった<br>Like; 私は寿司が好きです。(I like sushi.)
嫌い	きらいです<br>きらいじゃない<br>きらいで<br>きらいだった<br>きらいじゃなかった<br>Dislike; 私は虫が嫌いです。(I dislike bugs.)
上手	じょうずです<br>じょうずじゃない<br>じょうずで<br>じょうずだった<br>じょうずじゃなかった<br>Good at; 彼はピアノが上手です。(He is good at piano.)
下手	へたです<br>へたじゃない<br>へたで<br>へただった<br>へたじゃなかった<br>Not good at; 私は料理が下手です。(I'm bad at cooking.)
大丈夫	だいじょうぶです<br>だいじょうぶじゃない<br>だいじょうぶで<br>だいじょうぶだった<br>だいじょうぶじゃなかった<br>Fine/Ok; 大丈夫です。(I'm fine.)
元気	げんきです<br>げんきじゃない<br>げんきで<br>げんきだった<br>げんきじゃなかった<br>Energetic; 彼は元気です。(He is energetic.)
きれい	きれいです<br>きれいじゃない<br>きれいで<br>きれいだった<br>きれいじゃなかった<br>Beautiful/Clean; この部屋はきれいです。(This room is clean.)
面白い	おもしろいです<br>おもしろくない<br>おもしろくて<br>おもしろかった<br>おもしろくなかった<br>Fun; この映画は面白いです。(This movie is fun.)
楽しい	たのしいです<br>たのしくない<br>たのしくて<br>たのしかった<br>たのしくなかった<br>Interesting; 旅行は楽しいです。(Traveling is fun.)
便利	べんりです<br>べんりじゃない<br>べんりで<br>べんりだった<br>べんりじゃなかった<br>Convenience; このアプリは便利です。(This app is convenient.)
大切	たいせつです<br>たいせつじゃない<br>たいせつで<br>たいせつだった<br>たいせつじゃなかった<br>Important; 家族が大切です。(Family is important.)
暑い	あついです<br>あつくない<br>あつくて<br>あつかった<br>あつくなかった<br>Hot; 今日は暑いです。(Today is hot.)
寒い	さむいです<br>さむくない<br>さむくて<br>さむかった<br>さむくなかった<br>Cold; 冬は寒いです。(Winter is cold.)
多い	おおいです<br>おおくない<br>おおくて<br>おおかった<br>おおくなかった<br>A lot/Much; 学生が多いです。(There are many students.)
少ない	すくないです<br>すくなくない<br>すくなくて<br>すくなかった<br>すくなくなかった<br>A little; 時間が少ないです。(There is little time.)
早い	はやいです<br>はやくない<br>はやくて<br>はやかった<br>はやくなかった<br>Fast/Early; 朝が早いです。(The morning is early.)
遅い	おそいです<br>おそくない<br>おそくて<br>おそかった<br>おそくなかった<br>Slow; 電車が遅いです。(The train is slow.)
近い	ちかいです<br>ちかくない<br>ちかくて<br>ちかかった<br>ちかくなかった<br>Near/Close; 駅は近いです。(The station is close.)
遠い	とおいです<br>とおくない<br>とおくて<br>とおかった<br>とおくなかった<br>Far; 学校は遠いです。(The school is far.)
長い	ながいです<br>ながくない<br>ながくて<br>ながかった<br>ながくなかった<br>Long; 髪が長いです。(My hair is long.)
短い	みじかいです<br>みじかくない<br>みじかくて<br>みじかかった<br>みじかくなかった<br>Short; スカートが短いです。(The skirt is short.)
重い	おもいです<br>おもくない<br>おもくて<br>おもかった<br>おもくなかった<br>Heavy; このかばんは重いです。(This bag is heavy.)
軽い	かるいです<br>かるくない<br>かるくて<br>かるかった<br>かるくなかった<br>Light; このかばんは軽いです。(This bag is light.)
強い	つよいです<br>つよくない<br>つよくて<br>つよかった<br>つよくなかった<br>Strong; 彼は強いです。(He is strong.)
弱い	よわいです<br>よわくない<br>よわくて<br>よわかった<br>よわくなかった<br>Weak; 私は数学が弱いです。(I'm weak at math.)
難しい	むずかしいです<br>むずかしくない<br>むずかしくて<br>むずかしかった<br>むずかしくなかった<br>Difficult; 日本語は難しいです。(Japanese is difficult.)
明るい	あかるいです<br>あかるくない<br>あかるくて<br>あかるかった<br>あかるくなかった<br>Bright; この部屋は明るいです。(This room is bright.)
暗い	くらいです<br>くらくない<br>くらくて<br>くらかった<br>くらくなかった<br>Dark; 夜は暗いです。(Night is dark.)
若い	わかいです<br>わかくない<br>わかくて<br>わかかった<br>わかくなかった<br>Young; 彼は若いです。(He is young.)
広い	ひろいです<br>ひろくない<br>ひろくて<br>ひろかった<br>ひろくなかった<br>Wide; 部屋が広いです。(The room is spacious.)
甘い	あまいです<br>あまくない<br>あまくて<br>あまかった<br>あまくなかった<br>Sweet; このケーキは甘いです。(This cake is sweet.)
辛い	からいです<br>からくない<br>からくて<br>からかった<br>からくなかった<br>Spicy; カレーが辛いです。(The curry is spicy.)
静か	しずかです<br>しずかじゃない<br>しずかで<br>しずかだった<br>しずかじゃなかった<br>Quiet; 図書館は静かです。(The library is quiet.)
有名	ゆうめいです<br>ゆうめいじゃない<br>ゆうめいで<br>ゆうめいだった<br>ゆうめいじゃなかった<br>Famous; この店は有名です。(This shop is famous.)
親切	しんせつです<br>しんせつじゃない<br>しんせつで<br>しんせつだった<br>しんせつじゃなかった<br>Kind; 彼女は親切です。(She is kind.)
簡単	かんたんです<br>かんたんじゃない<br>かんたんで<br>かんたんだった<br>かんたんじゃなかった<br>Easy; この問題は簡単です。(This question is easy.)
大変	たいへんです<br>たいへんじゃない<br>たいへんで<br>たいへんだった<br>たいへんじゃなかった<br>Hard; 仕事が大変です。(Work is tough.)
無理	むりです<br>むりじゃない<br>むりで<br>むりだった<br>むりじゃなかった<br>Impossible; 今日は無理です。(Today is impossible for me.)
同じ	おなじです<br>おなじじゃない<br>おなじで<br>おなじだった<br>おなじじゃなかった<br>Same; 私たちは同じクラスです。(We are in the same class.)
心配	しんぱいです<br>しんぱいじゃない<br>しんぱいで<br>しんぱいだった<br>しんぱいじゃなかった<br>Worry; 天気が心配です。(I'm worried about the weather.)
十分	じゅうぶんです<br>じゅうぶんじゃない<br>じゅうぶんで<br>じゅうぶんだった<br>じゅうぶんじゃなかった<br>Enough; これで十分です。(This is enough.)
だめ	だめです<br>だめじゃない<br>だめで<br>だめだった<br>だめじゃなかった<br>Not good; それはだめです。(That's no good.)
変	へんです<br>へんじゃない<br>へんで<br>へんだった<br>へんじゃなかった<br>Strange; その音は変です。(That sound is strange.)
幸せ	しあわせです<br>しあわせじゃない<br>しあわせで<br>しあわせだった<br>しあわせじゃなかった<br>Happy; 今、幸せです。(I'm happy now.)
楽	らくです<br>らくじゃない<br>らくで<br>らくだった<br>らくじゃなかった<br>Easy work; この仕事は楽です。(This job is easy/comfortable.)
安全	あんぜんです<br>あんぜんじゃない<br>あんぜんで<br>あんぜんだった<br>あんぜんじゃなかった<br>Safe; この道は安全です。(This road is safe.)
危険	きけんです<br>きけんじゃない<br>きけんで<br>きけんだった<br>きけんじゃなかった<br>Dangerous; この場所は危険です。(This place is dangerous.)
不便	ふべんです<br>ふべんじゃない<br>ふべんで<br>ふべんだった<br>ふべんじゃなかった<br>Inconvenience; ここは不便です。(This place is inconvenient.)
素敵	すてきです<br>すてきじゃない<br>すてきで<br>すてきだった<br>すてきじゃなかった<br>Nice; その服は素敵です。(Those clothes are nice.)
色々	いろいろです<br>いろいろじゃない<br>いろいろで<br>いろいろだった<br>いろいろじゃなかった<br>Various; メニューは色々です。(The menu has various options.)
真面目	まじめです<br>まじめじゃない<br>まじめで<br>まじめだった<br>まじめじゃなかった<br>Serious; 彼は真面目です。(He is serious/diligent.)
危ない	あぶないです<br>あぶなくない<br>あぶなくて<br>あぶなかった<br>あぶなくなかった<br>Dangerous; この道は危ないです。(This road is dangerous.)
痛い	いたいです<br>いたくない<br>いたくて<br>いたかった<br>いたくなかった<br>Painful; 頭が痛いです。(My head hurts.)
眠い	ねむいです<br>ねむくない<br>ねむくて<br>ねむかった<br>ねむくなかった<br>Sleepy; 今、眠いです。(I'm sleepy now.)
冷たい	つめたいです<br>つめたくない<br>つめたくて<br>つめたかった<br>つめたくなかった<br>Cold (touch); この水は冷たいです。(This water is cold.)
狭い	せまいです<br>せまくない<br>せまくて<br>せまかった<br>せまくなかった<br>Narrow; 道が狭いです。(The road is narrow.)
欲しい／たい	ほしいです<br>ほしくない<br>ほしくて<br>ほしかった<br>ほしくなかった<br>Want; 新しい靴が欲しいです。(I want new shoes.)
頭がいい	あたまがいいです<br>あたまがよくない<br>あたまがよくて<br>あたまがよかった<br>あたまがよくなかった<br>Smart; 彼女は頭がいいです。(She is smart.)
気分がいい	きぶんがいいです<br>きぶんがよくない<br>きぶんがよくて<br>きぶんがよかった<br>きぶんがよくなかった<br>Feel good; 今、気分がいいです。(I feel good now.)
気分が悪い	きぶんがわるいです<br>きぶんがわるくない<br>きぶんがわるくて<br>きぶんがわるかった<br>きぶんがわるくなかった<br>Feel bad; 今、気分が悪いです。(I feel sick now.)
都合がいい	つごうがいいです<br>つごうがよくない<br>つごうがよくて<br>つごうがよかった<br>つごうがよくなかった<br>Convenient; 明日は都合がいいです。(Tomorrow works for me.)
都合が悪い	つごうがわるいです<br>つごうがわるくない<br>つごうがわるくて<br>つごうがわるかった<br>つごうがわるくなかった<br>Inconvenient; 今週は都合が悪いです。(This week doesn't work for me.)
調子がいい	ちょうしがいいです<br>ちょうしがよくない<br>ちょうしがよくて<br>ちょうしがよかった<br>ちょうしがよくなかった<br>Doing well; 今日は調子がいいです。(I'm feeling good today.)
調子が悪い	ちょうしがわるいです<br>ちょうしがわるくない<br>ちょうしがわるくて<br>ちょうしがわるかった<br>ちょうしがわるくなかった<br>Not doing well; 今日は調子が悪いです。(I'm not feeling well today.)
気持ちがいい	きもちがいいです<br>きもちがよくない<br>きもちがよくて<br>きもちがよかった<br>きもちがよくなかった<br>Feel good; 風が気持ちがいいです。(The breeze feels good.)
