#separator:tab
#html:true
#columns:Front	Back
いい	いいです<br>よくない<br>よくて<br>よかった<br>よくなかった<br>Good; 天気がいいです。(The weather is good.)
悪い	わるいです<br>わるくない<br>わるくて<br>わるかった<br>わるくなかった<br>Bad; 天気が悪いです。(The weather is bad.)
大きい	おおきいです<br>おおきくない<br>おおきくて<br>おおきかった<br>おおきくなかった<br>Big; この家は大きいです。(This house is big.)
小さい	ちいさいです<br>ちいさくない<br>ちいさくて<br>ちいさかった<br>ちいさくなかった<br>Small; この部屋は小さいです。(This room is small.)
高い	たかいです<br>たかくない<br>たかくて<br>たかかった<br>たかくなかった<br>High/Expensive; このかばんは高いです。(This bag is expensive.)
安い	やすいです<br>やすくない<br>やすくて<br>やすかった<br>やすくなかった<br>Cheap; この店は安いです。(This shop is cheap.)
忙しい	いそがしいです<br>いそがしくない<br>いそがしくて<br>いそがしかった<br>いそがしくなかった<br>Busy; 今週は忙しいです。(I'm busy this week.)
新しい	あたらしいです<br>あたらしくない<br>あたらしくて<br>あたらしかった<br>あたらしくなかった<br>New; この車は新しいです。(This car is new.)
古い	ふるいです<br>ふるくない<br>ふるくて<br>ふるかった<br>ふるくなかった<br>Old; この建物は古いです。(This building is old.)
好き	すきです<br>すきじゃない<br>すきで<br>すきだった<br>すきじゃなかった<br>Like; 私は寿司が好きです。(I like sushi.)
嫌い	きらいです<br>きらいじゃない<br>きらいで<br>きらいだった<br>きらいじゃなかった<br>Dislike; 私は虫が嫌いです。(I dislike bugs.)
上手	じょうずです<br>じょうずじゃない<br>じょうずで<br>じょうずだった<br>じょうずじゃなかった<br>Good at; 彼はピアノが上手です。(He is good at piano.)
下手	へたです<br>へたじゃない<br>へたで<br>へただった<br>へたじゃなかった<br>Not good at; 私は料理が下手です。(I'm bad at cooking.)
大丈夫	だいじょうぶです<br>だいじょうぶじゃない<br>だいじょうぶで<br>だいじょうぶだった<br>だいじょうぶじゃなかった<br>Fine/Ok; 大丈夫です。(I'm fine.)
元気	げんきです<br>げんきじゃない<br>げんきで<br>げんきだった<br>げんきじゃなかった<br>Energetic; 彼は元気です。(He is energetic.)
きれい	きれいです<br>きれいじゃない<br>きれいで<br>きれいだった<br>きれいじゃなかった<br>Beautiful/Clean; この部屋はきれいです。(This room is clean.)
面白い	おもしろいです<br>おもしろくない<br>おもしろくて<br>おもしろかった<br>おもしろくなかった<br>Fun; この映画は面白いです。(This movie is fun.)
楽しい	たのしいです<br>たのしくない<br>たのしくて<br>たのしかった<br>たのしくなかった<br>Interesting; 旅行は楽しいです。(Traveling is fun.)
便利	べんりです<br>べんりじゃない<br>べんりで<br>べんりだった<br>べんりじゃなかった<br>Convenience; このアプリは便利です。(This app is convenient.)
大切	たいせつです<br>たいせつじゃない<br>たいせつで<br>たいせつだった<br>たいせつじゃなかった<br>Important; 家族が大切です。(Family is important.)
暑い	あついです<br>あつくない<br>あつくて<br>あつかった<br>あつくなかった<br>Hot; 今日は暑いです。(Today is hot.)
寒い	さむいです<br>さむくない<br>さむくて<br>さむかった<br>さむくなかった<br>Cold; 冬は寒いです。(Winter is cold.)
多い	おおいです<br>おおくない<br>おおくて<br>おおかった<br>おおくなかった<br>A lot/Much; 学生が多いです。(There are many students.)
少ない	すくないです<br>すくなくない<br>すくなくて<br>すくなかった<br>すくなくなかった<br>A little; 時間が少ないです。(There is little time.)
早い	はやいです<br>はやくない<br>はやくて<br>はやかった<br>はやくなかった<br>Fast/Early; 朝が早いです。(The morning is early.)
遅い	おそいです<br>おそくない<br>おそくて<br>おそかった<br>おそくなかった<br>Slow; 電車が遅いです。(The train is slow.)
近い	ちかいです<br>ちかくない<br>ちかくて<br>ちかかった<br>ちかくなかった<br>Near/Close; 駅は近いです。(The station is close.)
遠い	とおいです<br>とおくない<br>とおくて<br>とおかった<br>とおくなかった<br>Far; 学校は遠いです。(The school is far.)
長い	ながいです<br>ながくない<br>ながくて<br>ながかった<br>ながくなかった<br>Long; 髪が長いです。(My hair is long.)
短い	みじかいです<br>みじかくない<br>みじかくて<br>みじかかった<br>みじかくなかった<br>Short; スカートが短いです。(The skirt is short.)
重い	おもいです<br>おもくない<br>おもくて<br>おもかった<br>おもくなかった<br>Heavy; このかばんは重いです。(This bag is heavy.)
軽い	かるいです<br>かるくない<br>かるくて<br>かるかった<br>かるくなかった<br>Light; このかばんは軽いです。(This bag is light.)
強い	つよいです<br>つよくない<br>つよくて<br>つよかった<br>つよくなかった<br>Strong; 彼は強いです。(He is strong.)
弱い	よわいです<br>よわくない<br>よわくて<br>よわかった<br>よわくなかった<br>Weak; 私は数学が弱いです。(I'm weak at math.)
難しい	むずかしいです<br>むずかしくない<br>むずかしくて<br>むずかしかった<br>むずかしくなかった<br>Difficult; 日本語は難しいです。(Japanese is difficult.)
明るい	あかるいです<br>あかるくない<br>あかるくて<br>あかるかった<br>あかるくなかった<br>Bright; この部屋は明るいです。(This room is bright.)
暗い	くらいです<br>くらくない<br>くらくて<br>くらかった<br>くらくなかった<br>Dark; 夜は暗いです。(Night is dark.)
若い	わかいです<br>わかくない<br>わかくて<br>わかかった<br>わかくなかった<br>Young; 彼は若いです。(He is young.)
広い	ひろいです<br>ひろくない<br>ひろくて<br>ひろかった<br>ひろくなかった<br>Wide; 部屋が広いです。(The room is spacious.)
甘い	あまいです<br>あまくない<br>あまくて<br>あまかった<br>あまくなかった<br>Sweet; このケーキは甘いです。(This cake is sweet.)
辛い	からいです<br>からくない<br>からくて<br>からかった<br>からくなかった<br>Spicy; カレーが辛いです。(The curry is spicy.)
