#separator:tab
#html:true
#columns:Front	Back
静か	しずかです<br>しずかじゃない<br>しずかで<br>しずかだった<br>しずかじゃなかった<br>Quiet; 図書館は静かです。(The library is quiet.)
有名	ゆうめいです<br>ゆうめいじゃない<br>ゆうめいで<br>ゆうめいだった<br>ゆうめいじゃなかった<br>Famous; この店は有名です。(This shop is famous.)
親切	しんせつです<br>しんせつじゃない<br>しんせつで<br>しんせつだった<br>しんせつじゃなかった<br>Kind; 彼女は親切です。(She is kind.)
簡単	かんたんです<br>かんたんじゃない<br>かんたんで<br>かんたんだった<br>かんたんじゃなかった<br>Easy; この問題は簡単です。(This question is easy.)
大変	たいへんです<br>たいへんじゃない<br>たいへんで<br>たいへんだった<br>たいへんじゃなかった<br>Hard; 仕事が大変です。(Work is tough.)
無理	むりです<br>むりじゃない<br>むりで<br>むりだった<br>むりじゃなかった<br>Impossible; 今日は無理です。(Today is impossible for me.)
同じ	おなじです<br>おなじじゃない<br>おなじで<br>おなじだった<br>おなじじゃなかった<br>Same; 私たちは同じクラスです。(We are in the same class.)
心配	しんぱいです<br>しんぱいじゃない<br>しんぱいで<br>しんぱいだった<br>しんぱいじゃなかった<br>Worry; 天気が心配です。(I'm worried about the weather.)
十分	じゅうぶんです<br>じゅうぶんじゃない<br>じゅうぶんで<br>じゅうぶんだった<br>じゅうぶんじゃなかった<br>Enough; これで十分です。(This is enough.)
だめ	だめです<br>だめじゃない<br>だめで<br>だめだった<br>だめじゃなかった<br>Not good; それはだめです。(That's no good.)
変	へんです<br>へんじゃない<br>へんで<br>へんだった<br>へんじゃなかった<br>Strange; その音は変です。(That sound is strange.)
幸せ	しあわせです<br>しあわせじゃない<br>しあわせで<br>しあわせだった<br>しあわせじゃなかった<br>Happy; 今、幸せです。(I'm happy now.)
楽	らくです<br>らくじゃない<br>らくで<br>らくだった<br>らくじゃなかった<br>Easy work; この仕事は楽です。(This job is easy/comfortable.)
安全	あんぜんです<br>あんぜんじゃない<br>あんぜんで<br>あんぜんだった<br>あんぜんじゃなかった<br>Safe; この道は安全です。(This road is safe.)
危険	きけんです<br>きけんじゃない<br>きけんで<br>きけんだった<br>きけんじゃなかった<br>Dangerous; この場所は危険です。(This place is dangerous.)
不便	ふべんです<br>ふべんじゃない<br>ふべんで<br>ふべんだった<br>ふべんじゃなかった<br>Inconvenience; ここは不便です。(This place is inconvenient.)
素敵	すてきです<br>すてきじゃない<br>すてきで<br>すてきだった<br>すてきじゃなかった<br>Nice; その服は素敵です。(Those clothes are nice.)
色々	いろいろです<br>いろいろじゃない<br>いろいろで<br>いろいろだった<br>いろいろじゃなかった<br>Various; メニューは色々です。(The menu has various options.)
真面目	まじめです<br>まじめじゃない<br>まじめで<br>まじめだった<br>まじめじゃなかった<br>Serious; 彼は真面目です。(He is serious/diligent.)
危ない	あぶないです<br>あぶなくない<br>あぶなくて<br>あぶなかった<br>あぶなくなかった<br>Dangerous; この道は危ないです。(This road is dangerous.)
痛い	いたいです<br>いたくない<br>いたくて<br>いたかった<br>いたくなかった<br>Painful; 頭が痛いです。(My head hurts.)
眠い	ねむいです<br>ねむくない<br>ねむくて<br>ねむかった<br>ねむくなかった<br>Sleepy; 今、眠いです。(I'm sleepy now.)
冷たい	つめたいです<br>つめたくない<br>つめたくて<br>つめたかった<br>つめたくなかった<br>Cold (touch); この水は冷たいです。(This water is cold.)
狭い	せまいです<br>せまくない<br>せまくて<br>せまかった<br>せまくなかった<br>Narrow; 道が狭いです。(The road is narrow.)
欲しい／たい	ほしいです<br>ほしくない<br>ほしくて<br>ほしかった<br>ほしくなかった<br>Want; 新しい靴が欲しいです。(I want new shoes.)
頭がいい	あたまがいいです<br>あたまがよくない<br>あたまがよくて<br>あたまがよかった<br>あたまがよくなかった<br>Smart; 彼女は頭がいいです。(She is smart.)
気分がいい	きぶんがいいです<br>きぶんがよくない<br>きぶんがよくて<br>きぶんがよかった<br>きぶんがよくなかった<br>Feel good; 今、気分がいいです。(I feel good now.)
気分が悪い	きぶんがわるいです<br>きぶんがわるくない<br>きぶんがわるくて<br>きぶんがわるかった<br>きぶんがわるくなかった<br>Feel bad; 今、気分が悪いです。(I feel sick now.)
都合がいい	つごうがいいです<br>つごうがよくない<br>つごうがよくて<br>つごうがよかった<br>つごうがよくなかった<br>Convenient; 明日は都合がいいです。(Tomorrow works for me.)
都合が悪い	つごうがわるいです<br>つごうがわるくない<br>つごうがわるくて<br>つごうがわるかった<br>つごうがわるくなかった<br>Inconvenient; 今週は都合が悪いです。(This week doesn't work for me.)
調子がいい	ちょうしがいいです<br>ちょうしがよくない<br>ちょうしがよくて<br>ちょうしがよかった<br>ちょうしがよくなかった<br>Doing well; 今日は調子がいいです。(I'm feeling good today.)
調子が悪い	ちょうしがわるいです<br>ちょうしがわるくない<br>ちょうしがわるくて<br>ちょうしがわるかった<br>ちょうしがわるくなかった<br>Not doing well; 今日は調子が悪いです。(I'm not feeling well today.)
気持ちがいい	きもちがいいです<br>きもちがよくない<br>きもちがよくて<br>きもちがよかった<br>きもちがよくなかった<br>Feel good; 風が気持ちがいいです。(The breeze feels good.)
気持ちが悪い	きもちがわるいです<br>きもちがわるくない<br>きもちがわるくて<br>きもちがわるかった<br>きもちがわるくなかった<br>Feel bad; 気持ちが悪いです。(I feel sick/nauseous.)
体にいい	からだにいいです<br>からだによくない<br>からだによくて<br>からだによかった<br>からだによくなかった<br>Healthy; 野菜は体にいいです。(Vegetables are good for your health.)
汚い	きたないです<br>きたなくない<br>きたなくて<br>きたなかった<br>きたなくなかった<br>Dirty; この部屋は汚いです。(This room is dirty.)
嬉しい	うれしいです<br>うれしくない<br>うれしくて<br>うれしかった<br>うれしくなかった<br>Happy; 会えて嬉しいです。(I'm happy to meet you.)
悲しい	かなしいです<br>かなしくない<br>かなしくて<br>かなしかった<br>かなしくなかった<br>Sad; その話は悲しいです。(That story is sad.)
すごい	すごいです<br>すごくない<br>すごくて<br>すごかった<br>すごくなかった<br>Great; その景色はすごいです。(That view is amazing.)
正しい	ただしいです<br>ただしくない<br>ただしくて<br>ただしかった<br>ただしくなかった<br>Correct; あなたの答えは正しいです。(Your answer is correct.)
美しい	うつくしいです<br>うつくしくない<br>うつくしくて<br>うつくしかった<br>うつくしくなかった<br>Beautiful; その景色は美しいです。(That view is beautiful.)
