#separator:tab
#html:true
#columns:Front	Back
にぎやか	にぎやかです<br>にぎやかじゃない<br>にぎやかで<br>にぎやかだった<br>にぎやかじゃなかった<br>Lively/good noise; この街はにぎやかです。(This town is lively.)
ハンサム	ハンサムです<br>ハンサムじゃない<br>ハンサムで<br>ハンサムだった<br>ハンサムじゃなかった<br>Handsome; 彼はハンサムです。(He is handsome.)
キュート	キュートです<br>キュートじゃない<br>キュートで<br>キュートだった<br>キュートじゃなかった<br>Cute; その犬はキュートです。(That dog is cute.)
無駄	むだです<br>むだじゃない<br>むだで<br>むだだった<br>むだじゃなかった<br>Useless; その努力は無駄です。(That effort is wasted.)
熱心	ねっしんです<br>ねっしんじゃない<br>ねっしんで<br>ねっしんだった<br>ねっしんじゃなかった<br>Enthusiastic; 彼女は勉強に熱心です。(She is enthusiastic about studying.)
楽しみ	たのしみです<br>たのしみじゃない<br>たのしみで<br>たのしみだった<br>たのしみじゃなかった<br>Look forward to; 旅行が楽しみです。(I'm looking forward to the trip.)
複雑	ふくざつです<br>ふくざつじゃない<br>ふくざつで<br>ふくざつだった<br>ふくざつじゃなかった<br>Complicated; この問題は複雑です。(This problem is complicated.)
丁寧	ていねいです<br>ていねいじゃない<br>ていねいで<br>ていねいだった<br>ていねいじゃなかった<br>Polite; 彼女は丁寧です。(She is polite/courteous.)
いや	いやです<br>いやじゃない<br>いやで<br>いやだった<br>いやじゃなかった<br>Not like/not want; 行くのはいやです。(I don't want to go.)
暇	ひまです<br>ひまじゃない<br>ひまで<br>ひまだった<br>ひまじゃなかった<br>Bored/nothing to do; 今日は暇です。(I'm free today.)
美味しい	おいしいです<br>おいしくない<br>おいしくて<br>おいしかった<br>おいしくなかった<br>Delicious; このラーメンはおいしいです。(This ramen is delicious.)
かわいい	かわいいです<br>かわいくない<br>かわいくて<br>かわいかった<br>かわいくなかった<br>Cute/Pretty; この犬はかわいいです。(This dog is cute.)
低い	ひくいです<br>ひくくない<br>ひくくて<br>ひくかった<br>ひくくなかった<br>Low; 天井が低いです。(The ceiling is low.)
易しい	やさしいです<br>やさしくない<br>やさしくて<br>やさしかった<br>やさしくなかった<br>Easy/Gentle; この問題は易しいです。(This question is easy.)
白い	しろいです<br>しろくない<br>しろくて<br>しろかった<br>しろくなかった<br>White; 雪は白いです。(Snow is white.)
赤い	あかいです<br>あかくない<br>あかくて<br>あかかった<br>あかくなかった<br>Red; りんごは赤いです。(The apple is red.)
黒い	くろいです<br>くろくない<br>くろくて<br>くろかった<br>くろくなかった<br>Black; 猫は黒いです。(The cat is black.)
青い	あおいです<br>あおくない<br>あおくて<br>あおかった<br>あおくなかった<br>Blue; 空は青いです。(The sky is blue.)
暖かい	あたたかいです<br>あたたかくない<br>あたたかくて<br>あたたかかった<br>あたたかくなかった<br>Warm; 今日は暖かいです。(Today is warm.)
涼しい	すずしいです<br>すずしくない<br>すずしくて<br>すずしかった<br>すずしくなかった<br>Cool; 秋は涼しいです。(Autumn is cool.)
背が高い	せがたかいです<br>せがたかくない<br>せがたかくて<br>せがたかかった<br>せがたかくなかった<br>Tall; 兄は背が高いです。(My brother is tall.)
背が低い	せがひくいです<br>せがひくくない<br>せがひくくて<br>せがひくかった<br>せがひくくなかった<br>Short; 妹は背が低いです。(My sister is short.)
偉い	えらいです<br>えらくない<br>えらくて<br>えらかった<br>えらくなかった<br>Great (person); あの先生は偉いです。(That teacher is admirable.)
ちょうどいい	ちょうどいいです<br>ちょうどよくない<br>ちょうどよくて<br>ちょうどよかった<br>ちょうどよくなかった<br>Just right (size/time); このサイズはちょうどいいです。(This size is just right.)
うるさい	うるさいです<br>うるさくない<br>うるさくて<br>うるさかった<br>うるさくなかった<br>Noisy; この道はうるさいです。(This street is noisy.)
おかしい	おかしいです<br>おかしくない<br>おかしくて<br>おかしかった<br>おかしくなかった<br>Strange; その話はおかしいです。(That story is strange.)
苦い	にがいです<br>にがくない<br>にがくて<br>にがかった<br>にがくなかった<br>Bitter; この薬は苦いです。(This medicine is bitter.)
寂しい	さびしいです<br>さびしくない<br>さびしくて<br>さびしかった<br>さびしくなかった<br>Lonely; 一人で寂しいです。(I feel lonely by myself.)
恥ずかしい	はずかしいです<br>はずかしくない<br>はずかしくて<br>はずかしかった<br>はずかしくなかった<br>Embarrassed; 恥ずかしいです。(I'm embarrassed.)
