order	source_file	source_row	front	meaning
1	Adjective-i.txt	20	いい	Good
2	Adjective-i.txt	21	<ruby>悪い<rt>わるい</rt></ruby>	Bad
3	Adjective-i.txt	11	<ruby>大きい<rt>おおきい</rt></ruby>	Big
4	Adjective-i.txt	12	<ruby>小さい<rt>ちいさい</rt></ruby>	Small
5	Adjective-i.txt	6	<ruby>高い<rt>たかい</rt></ruby>	High/Expensive
6	Adjective-i.txt	7	<ruby>安い<rt>やすい</rt></ruby>	Cheap
7	Adjective-i.txt	17	<ruby>忙しい<rt>いそがしい</rt></ruby>	Busy
8	Adjective-i.txt	18	<ruby>新しい<rt>あたらしい</rt></ruby>	New
9	Adjective-i.txt	19	<ruby>古い<rt>ふるい</rt></ruby>	Old
10	Adjective-na.txt	13	<ruby>好き<rt>すき</rt></ruby>	Like
11	Adjective-na.txt	14	<ruby>嫌い<rt>きらい</rt></ruby>	Dislike
12	Adjective-na.txt	15	<ruby>上手<rt>じょうず</rt></ruby>	Good at
13	Adjective-na.txt	16	<ruby>下手<rt>へた</rt></ruby>	Not good at
14	Adjective-na.txt	21	<ruby>大丈夫<rt>だいじょうぶ</rt></ruby>	Fine/Ok
15	Adjective-na.txt	2	<ruby>元気<rt>げんき</rt></ruby>	Energetic
16	Adjective-na.txt	4	きれい	Beautiful/Clean
17	Adjective-i.txt	24	<ruby>面白い<rt>おもしろい</rt></ruby>	Fun
18	Adjective-i.txt	25	<ruby>楽しい<rt>たのしい</rt></ruby>	Interesting
19	Adjective-na.txt	10	<ruby>便利<rt>べんり</rt></ruby>	Convenience
20	Adjective-na.txt	20	<ruby>大切<rt>たいせつ</rt></ruby>	Important
21	Adjective-i.txt	3	<ruby>暑い<rt>あつい</rt></ruby>	Hot
22	Adjective-i.txt	4	<ruby>寒い<rt>さむい</rt></ruby>	Cold
23	Adjective-i.txt	15	<ruby>多い<rt>おおい</rt></ruby>	A lot/Much
24	Adjective-i.txt	16	<ruby>少ない<rt>すくない</rt></ruby>	A little
25	Adjective-i.txt	13	<ruby>早い<rt>はやい</rt></ruby>	Fast/Early
26	Adjective-i.txt	14	<ruby>遅い<rt>おそい</rt></ruby>	Slow
27	Adjective-i.txt	30	<ruby>近い<rt>ちかい</rt></ruby>	Near/Close
28	Adjective-i.txt	31	<ruby>遠い<rt>とおい</rt></ruby>	Far
29	Adjective-i.txt	9	<ruby>長い<rt>ながい</rt></ruby>	Long
30	Adjective-i.txt	10	<ruby>短い<rt>みじかい</rt></ruby>	Short
31	Adjective-i.txt	36	<ruby>重い<rt>おもい</rt></ruby>	Heavy
32	Adjective-i.txt	37	<ruby>軽い<rt>かるい</rt></ruby>	Light
33	Adjective-i.txt	50	<ruby>強い<rt>つよい</rt></ruby>	Strong
34	Adjective-i.txt	51	<ruby>弱い<rt>よわい</rt></ruby>	Weak
35	Adjective-i.txt	22	<ruby>難しい<rt>むずかしい</rt></ruby>	Difficult
36	Adjective-i.txt	42	<ruby>明るい<rt>あかるい</rt></ruby>	Bright
37	Adjective-i.txt	43	<ruby>暗い<rt>くらい</rt></ruby>	Dark
38	Adjective-i.txt	41	<ruby>若い<rt>わかい</rt></ruby>	Young
39	Adjective-i.txt	39	<ruby>広い<rt>ひろい</rt></ruby>	Wide
40	Adjective-i.txt	34	<ruby>甘い<rt>あまい</rt></ruby>	Sweet
41	Adjective-i.txt	35	<ruby>辛い<rt>からい</rt></ruby>	Spicy
42	Adjective-na.txt	6	<ruby>静か<rt>しずか</rt></ruby>	Quiet
43	Adjective-na.txt	3	<ruby>有名<rt>ゆうめい</rt></ruby>	Famous
44	Adjective-na.txt	9	<ruby>親切<rt>しんせつ</rt></ruby>	Kind
45	Adjective-na.txt	18	<ruby>簡単<rt>かんたん</rt></ruby>	Easy
46	Adjective-na.txt	19	<ruby>大変<rt>たいへん</rt></ruby>	Hard
47	Adjective-na.txt	22	<ruby>無理<rt>むり</rt></ruby>	Impossible
48	Adjective-na.txt	24	<ruby>同じ<rt>おなじ</rt></ruby>	Same
49	Adjective-na.txt	25	<ruby>心配<rt>しんぱい</rt></ruby>	Worry
50	Adjective-na.txt	28	<ruby>十分<rt>じゅうぶん</rt></ruby>	Enough
51	Adjective-na.txt	29	だめ	Not good
52	Adjective-na.txt	32	<ruby>変<rt>へん</rt></ruby>	Strange
53	Adjective-na.txt	33	<ruby>幸せ<rt>しあわせ</rt></ruby>	Happy
54	Adjective-na.txt	34	<ruby>楽<rt>らく</rt></ruby>	Easy work
55	Adjective-na.txt	35	<ruby>安全<rt>あんぜん</rt></ruby>	Safe
56	Adjective-na.txt	37	<ruby>危険<rt>きけん</rt></ruby>	Dangerous
57	Adjective-na.txt	11	<ruby>不便<rt>ふべん</rt></ruby>	Inconvenience
58	Adjective-na.txt	12	<ruby>素敵<rt>すてき</rt></ruby>	Nice
59	Adjective-na.txt	17	<ruby>色々<rt>いろいろ</rt></ruby>	Various
60	Adjective-na.txt	26	<ruby>真面目<rt>まじめ</rt></ruby>	Serious
61	Adjective-i.txt	47	<ruby>危ない<rt>あぶない</rt></ruby>	Dangerous
62	Adjective-i.txt	48	<ruby>痛い<rt>いたい</rt></ruby>	Painful
63	Adjective-i.txt	49	<ruby>眠い<rt>ねむい</rt></ruby>	Sleepy
