#separator:tab
#html:true
#columns:Front	Back
<ruby>反対<rt>はんたい</rt></ruby>	opposite
<ruby>時間が経つ<rt>じかんがたつ</rt></ruby>	time passes / time goes by
<ruby>付ける<rt>つける</rt></ruby>	to add
<ruby>状態<rt>じょうたい</rt></ruby>	state/condition
<ruby>挿す<rt>さす</rt></ruby>	to insert / plug in (antonym: 抜く)
<ruby>抜く<rt>ぬく</rt></ruby>	to pull out / unplug (antonym: 挿す)
<ruby>入れる<rt>いれる</rt></ruby>	to put in (antonym: 出す)
<ruby>出す<rt>だす</rt></ruby>	to take out / put out (antonym: 入れる)
<ruby>戻す<rt>もどす</rt></ruby>	to put back / return something
<ruby>事故<rt>じこ</rt></ruby>	accident
ぶつかる	to collide / crash into
<ruby>地震<rt>じしん</rt></ruby>	earthquake
<ruby>お祭り<rt>おまつり</rt></ruby>	festival
<ruby>選ぶ<rt>えらぶ</rt></ruby>	to choose
<ruby>飽きる<rt>あきる</rt></ruby>	to get bored / tired of
<ruby>止む<rt>やむ</rt></ruby>	(rain/snow) to stop
<ruby>職場<rt>しょくば</rt></ruby>	workplace
<ruby>販売<rt>はんばい</rt></ruby>	sales
<ruby>上司<rt>じょうし</rt></ruby>	boss / superior
<ruby>豪華<rt>ごうか</rt></ruby>	gorgeous / luxurious
<ruby>力持ち<rt>ちからもち</rt></ruby>	strong person
<ruby>最近<rt>さいきん</rt></ruby>	recently
<ruby>学割<rt>がくわり</rt></ruby>	student discount
<ruby>価格<rt>かかく</rt></ruby>	price
<ruby>映画館<rt>えいがかん</rt></ruby>	movie theater
<ruby>台風<rt>たいふう</rt></ruby>	typhoon
<ruby>炎症<rt>えんしょう</rt></ruby>	inflammation
<ruby>充実<rt>じゅうじつ</rt></ruby>	fulfilling / a sense of fulfillment
<ruby>入学<rt>にゅうがく</rt></ruby>	school enrollment
<ruby>寮<rt>りょう</rt></ruby>	dormitory
<ruby>山頂<rt>さんちょう</rt></ruby>	mountain summit
<ruby>距離<rt>きょり</rt></ruby>	distance
<ruby>追加<rt>ついか</rt></ruby>	addition
<ruby>体調<rt>たいちょう</rt></ruby>	physical condition
<ruby>引き出し<rt>ひきだし</rt></ruby>	drawer
<ruby>品詞<rt>ひんし</rt></ruby>	part of speech
<ruby>名詞<rt>めいし</rt></ruby>	noun
<ruby>動詞<rt>どうし</rt></ruby>	verb
<ruby>形容詞<rt>けいようし</rt></ruby>	adjective
<ruby>助詞<rt>じょし</rt></ruby>	particle
<ruby>副詞<rt>ふくし</rt></ruby>	adverb
<ruby>疑問詞<rt>ぎもんし</rt></ruby>	interrogative word
<ruby>活用<rt>かつよう</rt></ruby>	conjugation
<ruby>肯定<rt>こうてい</rt></ruby>	affirmative
<ruby>否定<rt>ひてい</rt></ruby>	negative
〜ままにする／〜ままにしておく	to leave (something) unchanged / keep it as is;  状態を変えないで続けるという意味; 例: 窓を開けたままにする＝keep the window open／ペンを出したままにする＝didn't put it back where it was
〜ですが	but / however (＝でも・けど・けれども — states something opposite of the previous content); 例: 体調が悪かったですが、良くなりました／日本語は難しいですが、楽しいです
〜かもしれない	might be / maybe (not clearly decided); 例: もし明日大雨だったら図書館に行かないかもしれない／もし台風だったら家で本を読むかもしれない
〜たことがある	have done ~ (experience); 例: 福岡に行ったことがあります
〜しか＋negative	only ~ (nothing more than); 例: 13時半までしかいませんでした
〜ている vs 〜た	ongoing/resulting state vs. completed action; 例: 事故が起きていました(state after it happened) vs 事故が起きました(it happened)／朝ごはんを食べていました(was in the middle of eating) vs 食べました(ate, completed)
良い の読み方	いい・よい・りょう — three readings of 良い, antonym: 悪い
ぜんぜん大丈夫	＝ぜんぜん問題ない, totally fine / no problem at all
