#separator:tab
#html:true
#columns:Front	Back	Tags	Deck
します	します, する, しない, して／した, できる, しよう, Do; 宿題をします。(I do homework.)	verb	Japanese::Verbs::Tier1_Essential
います	います, いる, いない, いて／た, いられます, いよう, Exist; 部屋に猫がいます。(There is a cat in the room.)	verb	Japanese::Verbs::Tier1_Essential
行きます	いきます, いく, いかない, いって／た, いけます, いこう, Go; 学校に行きます。(I go to school.)	verb	Japanese::Verbs::Tier1_Essential
来ます	きます, くる, こない, きて／きた, こられる, こよう, Come; 友達が来ます。(My friend comes.)	verb	Japanese::Verbs::Tier1_Essential
見ます	みます, みる, みない, みて／た, みられます, みよう, Look/Watch; テレビを見ます。(I watch TV.)	verb	Japanese::Verbs::Tier1_Essential
言います	いいます, いう, いわない, いって／た, いえます, いおう, Say/Tell; 名前を言います。(I say my name.)	verb	Japanese::Verbs::Tier1_Essential
思います	おもいます, おもう, おもわない, おもって／た, おもえます, おもおう, Think/Guess; そう思います。(I think so.)	verb	Japanese::Verbs::Tier1_Essential
分かります	わかります, わかる, わからない, わかって／た, ×, ×, Understand; 日本語が分かります。(I understand Japanese.)	verb	Japanese::Verbs::Tier1_Essential
知ります	しります, しる, しらない, しって／た, ×, しろう, Know; 彼女の名前を知りません。(I don't know her name.)	verb	Japanese::Verbs::Tier1_Essential
なります	なります, なる, ならない, なって／た, なれます, なろう, Become; 医者になります。(I will become a doctor.)	verb	Japanese::Verbs::Tier1_Essential
食べます	たべます, たべる, たべない, たべて／た, たべられます, たべよう, Eat; ご飯を食べます。(I eat a meal.)	verb	Japanese::Verbs::Tier1_Essential
飲みます	のみます, のむ, のまない, のんで／た, のめます, のもう, Drink; 水を飲みます。(I drink water.)	verb	Japanese::Verbs::Tier1_Essential
帰ります	かえります, かえる, かえらない, かえって／た, かえれます, かえろう, Go back; 家に帰ります。(I go back home.)	verb	Japanese::Verbs::Tier1_Essential
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Listen; 音楽を聞きます。(I listen to music.)	verb	Japanese::Verbs::Tier1_Essential
話します	はなします, はなす, はなさない, はなして／た, はなせます, はなそう, Speak; 日本語を話します。(I speak Japanese.)	verb	Japanese::Verbs::Tier1_Essential
買います	かいます, かう, かわない, かって／た, かえます, かおう, Buy; 服を買います。(I buy clothes.)	verb	Japanese::Verbs::Tier1_Essential
使います	つかいます, つかう, つかわない, つかって／た, つかえます, つかおう, Use; パソコンを使います。(I use a computer.)	verb	Japanese::Verbs::Tier1_Essential
入ります	はいります, はいる, はいらない, はいって／た, はいれます, はいろう, Come in/Enter; 部屋に入ります。(I enter the room.)	verb	Japanese::Verbs::Tier1_Essential
起きます	おきます, おきる, おきない, おきて／た, おきられます, おきよう, Wake up; 朝6時に起きます。(I wake up at 6 in the morning.)	verb	Japanese::Verbs::Tier1_Essential
寝ます	ねます, ねる, ねない, ねて／た, ねられます, ねよう, Sleep; 11時に寝ます。(I sleep at 11.)	verb	Japanese::Verbs::Tier1_Essential
読みます	よみます, よむ, よまない, よんで／た, よめます, よもう, Read; 本を読みます。(I read a book.)	verb	Japanese::Verbs::Tier1_Essential
会います	あいます, あう, あわない, あって／た, あえます, あおう, Meet; 友達に会います。(I meet a friend.)	verb	Japanese::Verbs::Tier1_Essential
書きます	かきます, かく, かかない, かいて／た, かけます, かこう, Write; 手紙を書きます。(I write a letter.)	verb	Japanese::Verbs::Tier1_Essential
取ります	とります, とる, とらない, とって／た, とれます, とろう, Take; メモを取ります。(I take notes.)	verb	Japanese::Verbs::Tier1_Essential
待ちます	まちます, まつ, またない, まって／た, まてます, まとう, Wait; バスを待ちます。(I wait for the bus.)	verb	Japanese::Verbs::Tier1_Essential
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Ask; 道を聞きます。(I ask for directions.)	verb	Japanese::Verbs::Tier1_Essential
乗ります	のります, のる, のらない, のって／た, のれます, のろう, Ride/Get on; 電車に乗ります。(I get on the train.)	verb	Japanese::Verbs::Tier1_Essential
