#separator:tab
#html:true
#columns:Front	Back
運	はこ.ぶ / ウン<br><ruby>運転します<rt>うんてんします</rt></ruby> to drive<br><ruby>運動<rt>うんどう</rt></ruby> exercise<br><ruby>運<rt>うん</rt></ruby> luck<br><ruby>運ぶ<rt>はこぶ</rt></ruby> to carry
料	リョウ<br><ruby>料理<rt>りょうり</rt></ruby> cooking<br><ruby>料金<rt>りょうきん</rt></ruby> fee<br><ruby>材料<rt>ざいりょう</rt></ruby> ingredients<br><ruby>無料<rt>むりょう</rt></ruby> free of charge
楽	たの.しい / ガク、ラク<br><ruby>楽しい<rt>たのしい</rt></ruby> fun<br><ruby>音楽<rt>おんがく</rt></ruby> music<br><ruby>楽<rt>らく</rt></ruby> comfortable/easy
色	いろ / シキ、ショク<br><ruby>色<rt>いろ</rt></ruby> color<br><ruby>色々<rt>いろいろ</rt></ruby> various<br><ruby>景色<rt>けしき</rt></ruby> scenery
帰	かえ.る / キ<br><ruby>帰ります<rt>かえります</rt></ruby> to go back<br><ruby>帰国<rt>きこく</rt></ruby> returning to one's home country
歩	ある.く、あゆ.む / ホ、ブ<br><ruby>歩きます<rt>あるきます</rt></ruby> to walk<br><ruby>散歩<rt>さんぽ</rt></ruby> walk/stroll
悪	わる.い / アク、オ<br><ruby>悪い<rt>わるい</rt></ruby> bad<br><ruby>気分が悪い<rt>きぶんがわるい</rt></ruby> feel bad
広	ひろ.い / コウ<br><ruby>広い<rt>ひろい</rt></ruby> wide<br><ruby>広場<rt>ひろば</rt></ruby> plaza/open square
店	みせ / テン<br><ruby>店<rt>みせ</rt></ruby> shop<br><ruby>店員<rt>てんいん</rt></ruby> store clerk<br><ruby>喫茶店<rt>きっさてん</rt></ruby> cafe<br><ruby>百貨店<rt>ひゃっかてん</rt></ruby> department store
町	まち / チョウ<br><ruby>町<rt>まち</rt></ruby> town
住	す.む / ジュウ<br><ruby>住みます<rt>すみます</rt></ruby> to live<br><ruby>住所<rt>じゅうしょ</rt></ruby> address
売	う.る / バイ<br><ruby>売ります<rt>うります</rt></ruby> to sell<br><ruby>販売<rt>はんばい</rt></ruby> sales<br><ruby>売り場<rt>うりば</rt></ruby> sales floor/counter
待	ま.つ / タイ<br><ruby>待ちます<rt>まちます</rt></ruby> to wait<br><ruby>期待<rt>きたい</rt></ruby> expectation
古	ふる.い / コ<br><ruby>古い<rt>ふるい</rt></ruby> old<br><ruby>中古<rt>ちゅうこ</rt></ruby> secondhand
始	はじ.める、はじ.まる / シ<br><ruby>始めます<rt>はじめます</rt></ruby> to start<br><ruby>始まります<rt>はじまります</rt></ruby> to begin (itself)<br><ruby>始め<rt>はじめ</rt></ruby> beginning
