#separator:tab
#html:false
#columns:Front	Back
起きます	おきます, おきる, おきない, おきて／た, おきられます, おきよう, Wake up
食べます	たべます, たべる, たべない, たべて／た, たべられます, たべよう, Eat
寝ます	ねます, ねる, ねない, ねて／た, ねられます, ねよう, Sleep
見ます	みます, みる, みない, みて／た, みられます, みよう, Look/Watch
います	います, いる, いない, いて／た, いられます, いよう, Exist
めがねをかけます	めがねをかけます, かける, かけない, かけて／た, かけられます, かけよう, Put on glasses
着ます	きます, きる, きない, きて／た, きられます, きよう, Put on clothes
開けます	あけます, あける, あけない, あけて／た, あけられます, あけよう, Open
教えます	おしえます, おしえる, おしえない, おしえて／た, おしえられます, おしえよう, Teach
降ります	おります, おりる, おりない, おりて／た, おりられます, おりよう, Get off
借ります	かります, かりる, かりない, かりて／た, かりられます, かりよう, Borrow
閉めます	しめます, しめる, しめない, しめて／た, しめられます, しめよう, Close
つけます	つけます, つける, つけない, つけて／た, つけられます, つけよう, Turn on
電話をかけます	でんわをかけます, かける, かけない, かけて／た, かけられます, かけよう, Make a call
忘れます	わすれます, わすれる, わすれない, わすれて／た, わすれられます, わすれよう, Forget
じろじろ見ます	じろじろみます, みる, みない, みて／た, みられます, みよう, Stare at
捨てます	すてます, すてる, すてない, すてて／た, すてられます, すてよう, Throw away
あげます	あげます, あげる, あげない, あげて／た, あげられます, あげよう, Give
疲れます	つかれます, つかれる, つかれない, つかれて／た, つかれられます, つかれよう, Get tired
出ます	でます, でる, でない, でて／た, でられます, でよう, Leave
止めます	とめます, とめる, とめない, とめて／た, とめられます, とめよう, Stop
見せます	みせます, みせる, みせない, みせて／た, みせられます, みせよう, Show
浴びます	あびます, あびる, あびない, あびて／た, あびられます, あびよう, Take a shower
始めます	はじめます, はじめる, はじめない, はじめて／た, はじめられます, はじめよう, Start
覚えます	おぼえます, おぼえる, おぼえない, おぼえて／た, おぼえられます, おぼえよう, Memorize
集めます	あつめます, あつめる, あつめない, あつめて／た, あつめられます, あつめよう, Collect
変えます	かえます, かえる, かえない, かえて／た, かえられます, かえよう, Change
調べます	しらべます, しらべる, しらべない, しらべて／た, しらべられます, しらべよう, Search/Look up
負けます	まけます, まける, まけない, まけて／た, まけられます, まけよう, Lose
やめます	やめます, やめる, やめない, やめて／た, やめられます, やめよう, Quit
気をつけます	きをつけます, きをつける, きをつけない, きをつけて／た, きをつけられます, きをつけよう, Watch out
生まれます	うまれます, うまれる, うまれない, うまれて／た, うまれられます, うまれよう, Born
考えます	かんがえます, かんがえる, かんがえない, かんがえて／た, かんがえられます, かんがえよう, Think
足ります	たります, たりる, たりない, たりて／た, ×, ×, It's enough
遅れます	おくれます, おくれる, おくれない, おくれて／た, おくれられます, おくれよう, Be late
