#separator:tab
#html:false
#columns:Front	Back
します	します, する, しない, して／した, できる, しよう, Do; 宿題をします。(I do homework.)
います	います, いる, いない, いて／た, いられます, いよう, Exist; 部屋に猫がいます。(There is a cat in the room.)
行きます	いきます, いく, いかない, いって／た, いけます, いこう, Go; 学校に行きます。(I go to school.)
来ます	きます, くる, こない, きて／きた, こられる, こよう, Come; 友達が来ます。(My friend comes.)
見ます	みます, みる, みない, みて／た, みられます, みよう, Look/Watch; テレビを見ます。(I watch TV.)
言います	いいます, いう, いわない, いって／た, いえます, いおう, Say/Tell; 名前を言います。(I say my name.)
思います	おもいます, おもう, おもわない, おもって／た, おもえます, おもおう, Think/Guess; そう思います。(I think so.)
分かります	わかります, わかる, わからない, わかって／た, ×, ×, Understand; 日本語が分かります。(I understand Japanese.)
知ります	しります, しる, しらない, しって／た, ×, しろう, Know; 彼女の名前を知りません。(I don't know her name.)
なります	なります, なる, ならない, なって／た, なれます, なろう, Become; 医者になります。(I will become a doctor.)
食べます	たべます, たべる, たべない, たべて／た, たべられます, たべよう, Eat; ご飯を食べます。(I eat a meal.)
飲みます	のみます, のむ, のまない, のんで／た, のめます, のもう, Drink; 水を飲みます。(I drink water.)
帰ります	かえります, かえる, かえらない, かえって／た, かえれます, かえろう, Go back; 家に帰ります。(I go back home.)
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Listen; 音楽を聞きます。(I listen to music.)
話します	はなします, はなす, はなさない, はなして／た, はなせます, はなそう, Speak; 日本語を話します。(I speak Japanese.)
買います	かいます, かう, かわない, かって／た, かえます, かおう, Buy; 服を買います。(I buy clothes.)
使います	つかいます, つかう, つかわない, つかって／た, つかえます, つかおう, Use; パソコンを使います。(I use a computer.)
入ります	はいります, はいる, はいらない, はいって／た, はいれます, はいろう, Come in/Enter; 部屋に入ります。(I enter the room.)
起きます	おきます, おきる, おきない, おきて／た, おきられます, おきよう, Wake up; 朝6時に起きます。(I wake up at 6 in the morning.)
寝ます	ねます, ねる, ねない, ねて／た, ねられます, ねよう, Sleep; 11時に寝ます。(I sleep at 11.)
読みます	よみます, よむ, よまない, よんで／た, よめます, よもう, Read; 本を読みます。(I read a book.)
会います	あいます, あう, あわない, あって／た, あえます, あおう, Meet; 友達に会います。(I meet a friend.)
書きます	かきます, かく, かかない, かいて／た, かけます, かこう, Write; 手紙を書きます。(I write a letter.)
取ります	とります, とる, とらない, とって／た, とれます, とろう, Take; メモを取ります。(I take notes.)
待ちます	まちます, まつ, またない, まって／た, まてます, まとう, Wait; バスを待ちます。(I wait for the bus.)
聞きます	ききます, きく, きかない, きいて／た, きけます, きこう, Ask; 道を聞きます。(I ask for directions.)
乗ります	のります, のる, のらない, のって／た, のれます, のろう, Ride/Get on; 電車に乗ります。(I get on the train.)
住みます	すみます, すむ, すまない, すんで／た, すめます, すもう, Live; 東京に住みます。(I live in Tokyo.)
働きます	はたらきます, はたらく, はたらかない, はたらいて／た, はたらけます, はたらこう, Work; 会社で働きます。(I work at a company.)
休みます	やすみます, やすむ, やすまない, やすんで／だ, やすめます, やすもう, Rest/Absent; 今日は休みます。(I'll take the day off today.)
終わります	おわります, おわる, おわらない, おわって／た, おわれます, おわろう, Finish; 仕事が終わります。(Work finishes.)
送ります	おくります, おくる, おくらない, おくって／た, おくれます, おくろう, Send; メールを送ります。(I send an email.)
もらいます	もらいます, もらう, もらわない, もらって／た, もらえます, もらおう, Get/receive; プレゼントをもらいます。(I receive a present.)
かかります	かかります, かかる, かからない, かかって／た, ×, ×, It takes/Cost; 一時間かかります。(It takes one hour.)
遊びます	あそびます, あそぶ, あそばない, あそんで／だ, あそべます, あそぼう, Play/Go out; 公園で遊びます。(I play in the park.)
持ちます	もちます, もつ, もたない, もって／た, もてます, もとう, Hold; かばんを持ちます。(I hold the bag.)
置きます	おきます, おく, おかない, おいて／た, おけます, おこう, Put; 机の上に置きます。(I put it on the desk.)
作ります	つくります, つくる, つくらない, つくって／た, つくれます, つくろう, Make; 料理を作ります。(I make food.)
いります	いります, いる, いらない, ×, ×, ×, Need; お金がいります。(I need money.)
着きます	つきます, つく, つかない, ついて／た, つけます, つこう, Arrive; 駅に着きます。(I arrive at the station.)
着ます	きます, きる, きない, きて／た, きられます, きよう, Put on clothes; 服を着ます。(I put on clothes.)
開けます	あけます, あける, あけない, あけて／た, あけられます, あけよう, Open; 窓を開けます。(I open the window.)
