#separator:tab
#html:true
#columns:Front	Back
教える	おしえます<br>おしえる<br>おしえない<br>おしえて／た<br>おしえられます<br>おしえよう<br>Teach; 日本語を教えます。(I teach Japanese.)
降りる	おります<br>おりる<br>おりない<br>おりて／た<br>おりられます<br>おりよう<br>Get off; バスを降ります。(I get off the bus.)
つける	つけます<br>つける<br>つけない<br>つけて／た<br>つけられます<br>つけよう<br>Turn on; 電気をつけます。(I turn on the light.)
電話をかける	でんわをかけます<br>かける<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Make a call; 友達に電話をかけます。(I make a call to my friend.)
忘れる	わすれます<br>わすれる<br>わすれない<br>わすれて／た<br>わすれられます<br>わすれよう<br>Forget; 宿題を忘れます。(I forget my homework.)
あげる	あげます<br>あげる<br>あげない<br>あげて／た<br>あげられます<br>あげよう<br>Give; 友達にプレゼントをあげます。(I give a present to my friend.)
疲れる	つかれます<br>つかれる<br>つかれない<br>つかれて／た<br>つかれられます<br>つかれよう<br>Get tired; 仕事で疲れます。(I get tired from work.)
出る	でます<br>でる<br>でない<br>でて／た<br>でられます<br>でよう<br>Leave; 家を出ます。(I leave the house.)
始める	はじめます<br>はじめる<br>はじめない<br>はじめて／た<br>はじめられます<br>はじめよう<br>Start; 仕事を始めます。(I start work.)
覚える	おぼえます<br>おぼえる<br>おぼえない<br>おぼえて／た<br>おぼえられます<br>おぼえよう<br>Memorize; 単語を覚えます。(I memorize vocabulary.)
調べる	しらべます<br>しらべる<br>しらべない<br>しらべて／た<br>しらべられます<br>しらべよう<br>Search/Look up; 言葉の意味を調べます。(I look up the meaning of a word.)
考える	かんがえます<br>かんがえる<br>かんがえない<br>かんがえて／た<br>かんがえられます<br>かんがえよう<br>Think; 将来のことを考えます。(I think about the future.)
勉強する	べんきょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Study; 日本語を勉強します。(I study Japanese.)
電話する	でんわします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Make a call; 母に電話します。(I call my mother.)
