#separator:tab
#html:true
#columns:Front	Back
捨てる	すてます<br>すてる<br>すてない<br>すてて／た<br>すてられます<br>すてよう<br>Throw away; ゴミを捨てます。(I throw away the trash.)
止める	とめます<br>とめる<br>とめない<br>とめて／た<br>とめられます<br>とめよう<br>Stop; 車を止めます。(I stop the car.)
見せる	みせます<br>みせる<br>みせない<br>みせて／た<br>みせられます<br>みせよう<br>Show; 写真を見せます。(I show a photo.)
浴びる	あびます<br>あびる<br>あびない<br>あびて／た<br>あびられます<br>あびよう<br>Take a shower; シャワーを浴びます。(I take a shower.)
集める	あつめます<br>あつめる<br>あつめない<br>あつめて／た<br>あつめられます<br>あつめよう<br>Collect; 切手を集めます。(I collect stamps.)
変える	かえます<br>かえる<br>かえない<br>かえて／た<br>かえられます<br>かえよう<br>Change; 予定を変えます。(I change the plan.)
負ける	まけます<br>まける<br>まけない<br>まけて／た<br>まけられます<br>まけよう<br>Lose; 試合に負けます。(I lose the match.)
やめる	やめます<br>やめる<br>やめない<br>やめて／た<br>やめられます<br>やめよう<br>Quit; 仕事をやめます。(I quit my job.)
気をつける	きをつけます<br>きをつける<br>きをつけない<br>きをつけて／た<br>きをつけられます<br>きをつけよう<br>Watch out; 車に気をつけます。(I watch out for cars.)
生まれる	うまれます<br>うまれる<br>うまれない<br>うまれて／た<br>うまれられます<br>うまれよう<br>Born; 東京で生まれました。(I was born in Tokyo.)
足りる	たります<br>たりる<br>たりない<br>たりて／た<br>×<br>×<br>It's enough; お金が足ります。(The money is enough.)
遅れる	おくれます<br>おくれる<br>おくれない<br>おくれて／た<br>おくれられます<br>おくれよう<br>Be late; 電車が遅れます。(The train is late.)
持ってくる	もってきます<br>もってくる<br>もってこない<br>もってきて／た<br>もってこられます<br>もってこよう<br>Bring a thing; 傘を持ってきます。(I bring an umbrella.)
料理する	りょうりします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Cook; 晩ご飯を料理します。(I cook dinner.)
運転する	うんてんします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Drive; 車を運転します。(I drive a car.)
洗濯する	せんたくします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Wash the clothes; 週末に洗濯します。(I do laundry on weekends.)
掃除する	そうじします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Clean up; 部屋を掃除します。(I clean the room.)
宿題する	しゅくだいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do homework; 毎日宿題します。(I do homework every day.)
買い物する	かいものします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do shopping; スーパーで買い物します。(I shop at the supermarket.)
食事する	しょくじします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Have meal; レストランで食事します。(I have a meal at a restaurant.)
心配する	しんぱいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Worry; 将来を心配します。(I worry about the future.)
練習する	れんしゅうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Practice; ピアノを練習します。(I practice the piano.)
紹介する	しょうかいします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Introduce; 友達を紹介します。(I introduce a friend.)
準備する	じゅんびします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Prepare; 晩ご飯を準備します。(I prepare dinner.)
泳ぐ	およぎます<br>およぐ<br>およがない<br>およいで／た<br>およげます<br>およごう<br>Swim; プールで泳ぎます。(I swim in the pool.)
かぶる	かぶります<br>かぶる<br>かぶらない<br>かぶって／た<br>かぶれます<br>かぶろう<br>Put on a hat; 帽子をかぶります。(I put on a hat.)
吸う	すいます<br>すう<br>すわない<br>すって／た<br>すえます<br>すおう<br>Smoke; タバコを吸います。(I smoke.)
弾く	ひきます<br>ひく<br>ひかない<br>ひいて／た<br>ひけます<br>ひこう<br>Play instrumental; ピアノを弾きます。(I play the piano.)
登る	のぼります<br>のぼる<br>のぼらない<br>のぼって／た<br>のぼれます<br>のぼろう<br>Climb; 山に登ります。(I climb the mountain.)
泊まる	とまります<br>とまる<br>とまらない<br>とまって／た<br>とまれます<br>とまろう<br>Stay (at hotel); ホテルに泊まります。(I stay at a hotel.)
役に立つ	やくにたちます<br>やくにたつ<br>やくにたたない<br>やくにたって／た<br>やくにたてます<br>やくにたとう<br>Useful; この本は役に立ちます。(This book is useful.)
年を取る	としをとります<br>としをとる<br>としをとらない<br>としをとって／た<br>としをとれます<br>としをとろう<br>Get old; 毎年年を取ります。(I get older every year.)
めがねをかける	めがねをかけます<br>かける<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Put on glasses; 本を読むとき、めがねをかけます。(I put on glasses when I read a book.)
連れてくる	つれてきます<br>つれてくる<br>つれてこない<br>つれてきて／た<br>つれてこられます<br>つれてこよう<br>Take a person; 子供を連れてきます。(I bring my child along.)
テニスする	テニスします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Play tennis; 友達とテニスします。(I play tennis with a friend.)
散歩する	さんぽします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Take a walk; 公園を散歩します。(I take a walk in the park.)
研究する	けんきゅうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Research; ロボットを研究します。(I research robots.)
出張する	しゅっちょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do business trip; 大阪に出張します。(I go on a business trip to Osaka.)
故障する	こしょうします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Break down; 車が故障します。(The car breaks down.)
案内する	あんないします<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Guide; 道を案内します。(I show the way.)
じろじろ見る	じろじろみます<br>みる<br>みない<br>みて／た<br>みられます<br>みよう<br>Stare at; 知らない人をじろじろ見ます。(I stare at strangers.)
