#separator:tab
#html:true
#columns:Front	Back
する	します<br>する<br>しない<br>して／した<br>できる<br>しよう<br>Do; 宿題をします。(I do homework.)
いる	います<br>いる<br>いない<br>いて／た<br>いられます<br>いよう<br>Exist; 部屋に猫がいます。(There is a cat in the room.)
行く	いきます<br>いく<br>いかない<br>いって／た<br>いけます<br>いこう<br>Go; 学校に行きます。(I go to school.)
来る	きます<br>くる<br>こない<br>きて／きた<br>こられる<br>こよう<br>Come; 友達が来ます。(My friend comes.)
見る	みます<br>みる<br>みない<br>みて／た<br>みられます<br>みよう<br>Look/Watch; テレビを見ます。(I watch TV.)
言う	いいます<br>いう<br>いわない<br>いって／た<br>いえます<br>いおう<br>Say/Tell; 名前を言います。(I say my name.)
思う	おもいます<br>おもう<br>おもわない<br>おもって／た<br>おもえます<br>おもおう<br>Think/Guess; そう思います。(I think so.)
分かる	わかります<br>わかる<br>わからない<br>わかって／た<br>×<br>×<br>Understand; 日本語が分かります。(I understand Japanese.)
知る	しります<br>しる<br>しらない<br>しって／た<br>×<br>しろう<br>Know; 彼女の名前を知りません。(I don't know her name.)
なる	なります<br>なる<br>ならない<br>なって／た<br>なれます<br>なろう<br>Become; 医者になります。(I will become a doctor.)
食べる	たべます<br>たべる<br>たべない<br>たべて／た<br>たべられます<br>たべよう<br>Eat; ご飯を食べます。(I eat a meal.)
飲む	のみます<br>のむ<br>のまない<br>のんで／た<br>のめます<br>のもう<br>Drink; 水を飲みます。(I drink water.)
帰る	かえります<br>かえる<br>かえらない<br>かえって／た<br>かえれます<br>かえろう<br>Go back; 家に帰ります。(I go back home.)
聞く	ききます<br>きく<br>きかない<br>きいて／た<br>きけます<br>きこう<br>Listen; 音楽を聞きます。(I listen to music.)
話す	はなします<br>はなす<br>はなさない<br>はなして／た<br>はなせます<br>はなそう<br>Speak; 日本語を話します。(I speak Japanese.)
買う	かいます<br>かう<br>かわない<br>かって／た<br>かえます<br>かおう<br>Buy; 服を買います。(I buy clothes.)
使う	つかいます<br>つかう<br>つかわない<br>つかって／た<br>つかえます<br>つかおう<br>Use; パソコンを使います。(I use a computer.)
入る	はいります<br>はいる<br>はいらない<br>はいって／た<br>はいれます<br>はいろう<br>Come in/Enter; 部屋に入ります。(I enter the room.)
起きる	おきます<br>おきる<br>おきない<br>おきて／た<br>おきられます<br>おきよう<br>Wake up; 朝6時に起きます。(I wake up at 6 in the morning.)
寝る	ねます<br>ねる<br>ねない<br>ねて／た<br>ねられます<br>ねよう<br>Sleep; 11時に寝ます。(I sleep at 11.)
読む	よみます<br>よむ<br>よまない<br>よんで／た<br>よめます<br>よもう<br>Read; 本を読みます。(I read a book.)
会う	あいます<br>あう<br>あわない<br>あって／た<br>あえます<br>あおう<br>Meet; 友達に会います。(I meet a friend.)
書く	かきます<br>かく<br>かかない<br>かいて／た<br>かけます<br>かこう<br>Write; 手紙を書きます。(I write a letter.)
取る	とります<br>とる<br>とらない<br>とって／た<br>とれます<br>とろう<br>Take; メモを取ります。(I take notes.)
待つ	まちます<br>まつ<br>またない<br>まって／た<br>まてます<br>まとう<br>Wait; バスを待ちます。(I wait for the bus.)
聞く	ききます<br>きく<br>きかない<br>きいて／た<br>きけます<br>きこう<br>Ask; 道を聞きます。(I ask for directions.)
乗る	のります<br>のる<br>のらない<br>のって／た<br>のれます<br>のろう<br>Ride/Get on; 電車に乗ります。(I get on the train.)
住む	すみます<br>すむ<br>すまない<br>すんで／た<br>すめます<br>すもう<br>Live; 東京に住みます。(I live in Tokyo.)
働く	はたらきます<br>はたらく<br>はたらかない<br>はたらいて／た<br>はたらけます<br>はたらこう<br>Work; 会社で働きます。(I work at a company.)
休む	やすみます<br>やすむ<br>やすまない<br>やすんで／だ<br>やすめます<br>やすもう<br>Rest/Absent; 今日は休みます。(I'll take the day off today.)
終わる	おわります<br>おわる<br>おわらない<br>おわって／た<br>おわれます<br>おわろう<br>Finish; 仕事が終わります。(Work finishes.)
送る	おくります<br>おくる<br>おくらない<br>おくって／た<br>おくれます<br>おくろう<br>Send; メールを送ります。(I send an email.)
もらう	もらいます<br>もらう<br>もらわない<br>もらって／た<br>もらえます<br>もらおう<br>Get/receive; プレゼントをもらいます。(I receive a present.)
かかる	かかります<br>かかる<br>かからない<br>かかって／た<br>×<br>×<br>It takes/Cost; 一時間かかります。(It takes one hour.)
遊ぶ	あそびます<br>あそぶ<br>あそばない<br>あそんで／だ<br>あそべます<br>あそぼう<br>Play/Go out; 公園で遊びます。(I play in the park.)
持つ	もちます<br>もつ<br>もたない<br>もって／た<br>もてます<br>もとう<br>Hold; かばんを持ちます。(I hold the bag.)
置く	おきます<br>おく<br>おかない<br>おいて／た<br>おけます<br>おこう<br>Put; 机の上に置きます。(I put it on the desk.)
作る	つくります<br>つくる<br>つくらない<br>つくって／た<br>つくれます<br>つくろう<br>Make; 料理を作ります。(I make food.)
いる	いります<br>いる<br>いらない<br>×<br>×<br>×<br>Need; お金がいります。(I need money.)
着く	つきます<br>つく<br>つかない<br>ついて／た<br>つけます<br>つこう<br>Arrive; 駅に着きます。(I arrive at the station.)
着る	きます<br>きる<br>きない<br>きて／た<br>きられます<br>きよう<br>Put on clothes; 服を着ます。(I put on clothes.)
