#separator:tab
#html:true
#columns:Front	Back
<ruby>起きる<rt>おきる</rt></ruby>	おきます<br>おきない<br>おきて／た<br>おきられます<br>おきよう<br>Wake up; 朝6時に起きます。(I wake up at 6 in the morning.)
<ruby>食べる<rt>たべる</rt></ruby>	たべます<br>たべない<br>たべて／た<br>たべられます<br>たべよう<br>Eat; ご飯を食べます。(I eat a meal.)
<ruby>寝る<rt>ねる</rt></ruby>	ねます<br>ねない<br>ねて／た<br>ねられます<br>ねよう<br>Sleep; 11時に寝ます。(I sleep at 11.)
<ruby>見る<rt>みる</rt></ruby>	みます<br>みない<br>みて／た<br>みられます<br>みよう<br>Look/Watch; テレビを見ます。(I watch TV.)
いる	います<br>いない<br>いて／た<br>いられます<br>いよう<br>Exist; 部屋に猫がいます。(There is a cat in the room.)
めがねをかける	めがねをかけます<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Put on glasses; 本を読むとき、めがねをかけます。(I put on glasses when I read a book.)
<ruby>着る<rt>きる</rt></ruby>	きます<br>きない<br>きて／た<br>きられます<br>きよう<br>Put on clothes; 服を着ます。(I put on clothes.)
<ruby>開ける<rt>あける</rt></ruby>	あけます<br>あけない<br>あけて／た<br>あけられます<br>あけよう<br>Open; 窓を開けます。(I open the window.)
<ruby>教える<rt>おしえる</rt></ruby>	おしえます<br>おしえない<br>おしえて／た<br>おしえられます<br>おしえよう<br>Teach; 日本語を教えます。(I teach Japanese.)
<ruby>降りる<rt>おりる</rt></ruby>	おります<br>おりない<br>おりて／た<br>おりられます<br>おりよう<br>Get off; バスを降ります。(I get off the bus.)
<ruby>借りる<rt>かりる</rt></ruby>	かります<br>かりない<br>かりて／た<br>かりられます<br>かりよう<br>Borrow; 本を借ります。(I borrow a book.)
<ruby>閉める<rt>しめる</rt></ruby>	しめます<br>しめない<br>しめて／た<br>しめられます<br>しめよう<br>Close; ドアを閉めます。(I close the door.)
つける	つけます<br>つけない<br>つけて／た<br>つけられます<br>つけよう<br>Turn on; 電気をつけます。(I turn on the light.)
<ruby>電話をかける<rt>でんわをかける</rt></ruby>	でんわをかけます<br>かけない<br>かけて／た<br>かけられます<br>かけよう<br>Make a call; 友達に電話をかけます。(I make a call to my friend.)
<ruby>忘れる<rt>わすれる</rt></ruby>	わすれます<br>わすれない<br>わすれて／た<br>わすれられます<br>わすれよう<br>Forget; 宿題を忘れます。(I forget my homework.)
<ruby>じろじろ見る<rt>じろじろみる</rt></ruby>	じろじろみます<br>みない<br>みて／た<br>みられます<br>みよう<br>Stare at; 知らない人をじろじろ見ます。(I stare at strangers.)
<ruby>捨てる<rt>すてる</rt></ruby>	すてます<br>すてない<br>すてて／た<br>すてられます<br>すてよう<br>Throw away; ゴミを捨てます。(I throw away the trash.)
あげる	あげます<br>あげない<br>あげて／た<br>あげられます<br>あげよう<br>Give; 友達にプレゼントをあげます。(I give a present to my friend.)
<ruby>疲れる<rt>つかれる</rt></ruby>	つかれます<br>つかれない<br>つかれて／た<br>つかれられます<br>つかれよう<br>Get tired; 仕事で疲れます。(I get tired from work.)
<ruby>出る<rt>でる</rt></ruby>	でます<br>でない<br>でて／た<br>でられます<br>でよう<br>Leave; 家を出ます。(I leave the house.)
<ruby>止める<rt>とめる</rt></ruby>	とめます<br>とめない<br>とめて／た<br>とめられます<br>とめよう<br>Stop; 車を止めます。(I stop the car.)
<ruby>見せる<rt>みせる</rt></ruby>	みせます<br>みせない<br>みせて／た<br>みせられます<br>みせよう<br>Show; 写真を見せます。(I show a photo.)
<ruby>浴びる<rt>あびる</rt></ruby>	あびます<br>あびない<br>あびて／た<br>あびられます<br>あびよう<br>Take a shower; シャワーを浴びます。(I take a shower.)
<ruby>始める<rt>はじめる</rt></ruby>	はじめます<br>はじめない<br>はじめて／た<br>はじめられます<br>はじめよう<br>Start; 仕事を始めます。(I start work.)
<ruby>覚える<rt>おぼえる</rt></ruby>	おぼえます<br>おぼえない<br>おぼえて／た<br>おぼえられます<br>おぼえよう<br>Memorize; 単語を覚えます。(I memorize vocabulary.)
<ruby>集める<rt>あつめる</rt></ruby>	あつめます<br>あつめない<br>あつめて／た<br>あつめられます<br>あつめよう<br>Collect; 切手を集めます。(I collect stamps.)
<ruby>変える<rt>かえる</rt></ruby>	かえます<br>かえない<br>かえて／た<br>かえられます<br>かえよう<br>Change; 予定を変えます。(I change the plan.)
<ruby>調べる<rt>しらべる</rt></ruby>	しらべます<br>しらべない<br>しらべて／た<br>しらべられます<br>しらべよう<br>Search/Look up; 言葉の意味を調べます。(I look up the meaning of a word.)
<ruby>負ける<rt>まける</rt></ruby>	まけます<br>まけない<br>まけて／た<br>まけられます<br>まけよう<br>Lose; 試合に負けます。(I lose the match.)
やめる	やめます<br>やめない<br>やめて／た<br>やめられます<br>やめよう<br>Quit; 仕事をやめます。(I quit my job.)
<ruby>気をつける<rt>きをつける</rt></ruby>	きをつけます<br>きをつけない<br>きをつけて／た<br>きをつけられます<br>きをつけよう<br>Watch out; 車に気をつけます。(I watch out for cars.)
