#separator:tab
#html:false
#columns:Front	Back
来ます	きます, くる, こない, きて／きた, こられる, こよう, Come; 友達が来ます。(My friend comes.)
連れてきます	つれてきます, つれてくる, つれてこない, つれてきて／た, つれてこられます, つれてこよう, Take a person; 子供を連れてきます。(I bring my child along.)
持ってきます	もってきます, もってくる, もってこない, もってきて／た, もってこられます, もってこよう, Bring a thing; 傘を持ってきます。(I bring an umbrella.)
します	します, する, しない, して／した, できる, しよう, Do; 宿題をします。(I do homework.)
勉強します	べんきょうします, する, しない, して／した, できる, しよう, Study; 日本語を勉強します。(I study Japanese.)
料理します	りょうりします, する, しない, して／した, できる, しよう, Cook; 晩ご飯を料理します。(I cook dinner.)
運転します	うんてんします, する, しない, して／した, できる, しよう, Drive; 車を運転します。(I drive a car.)
洗濯します	せんたくします, する, しない, して／した, できる, しよう, Wash the clothes; 週末に洗濯します。(I do laundry on weekends.)
掃除します	そうじします, する, しない, して／した, できる, しよう, Clean up; 部屋を掃除します。(I clean the room.)
電話します	でんわします, する, しない, して／した, できる, しよう, Make a call; 母に電話します。(I call my mother.)
宿題します	しゅくだいします, する, しない, して／した, できる, しよう, Do homework; 毎日宿題します。(I do homework every day.)
テニスします	テニスします, する, しない, して／した, できる, しよう, Play tennis; 友達とテニスします。(I play tennis with a friend.)
買い物します	かいものします, する, しない, して／した, できる, しよう, Do shopping; スーパーで買い物します。(I shop at the supermarket.)
食事します	しょくじします, する, しない, して／した, できる, しよう, Have meal; レストランで食事します。(I have a meal at a restaurant.)
散歩します	さんぽします, する, しない, して／した, できる, しよう, Take a walk; 公園を散歩します。(I take a walk in the park.)
研究します	けんきゅうします, する, しない, して／した, できる, しよう, Research; ロボットを研究します。(I research robots.)
心配します	しんぱいします, する, しない, して／した, できる, しよう, Worry; 将来を心配します。(I worry about the future.)
出張します	しゅっちょうします, する, しない, して／した, できる, しよう, Do business trip; 大阪に出張します。(I go on a business trip to Osaka.)
練習します	れんしゅうします, する, しない, して／した, できる, しよう, Practice; ピアノを練習します。(I practice the piano.)
故障します	こしょうします, する, しない, して／した, できる, しよう, Break down; 車が故障します。(The car breaks down.)
紹介します	しょうかいします, する, しない, して／した, できる, しよう, Introduce; 友達を紹介します。(I introduce a friend.)
案内します	あんないします, する, しない, して／した, できる, しよう, Guide; 道を案内します。(I show the way.)
準備します	じゅんびします, する, しない, して／した, できる, しよう, Prepare; 晩ご飯を準備します。(I prepare dinner.)
