order	source_file	source_row	front	meaning
1	VerbG3.txt	4	する	Do
2	VerbG2.txt	5	いる	Exist
3	VerbG1.txt	1	<ruby>行く<rt>いく</rt></ruby>	Go
4	VerbG3.txt	1	<ruby>来る<rt>くる</rt></ruby>	Come
5	VerbG2.txt	4	<ruby>見る<rt>みる</rt></ruby>	Look/Watch
6	VerbG1.txt	57	<ruby>言う<rt>いう</rt></ruby>	Say/Tell
7	VerbG1.txt	56	<ruby>思う<rt>おもう</rt></ruby>	Think/Guess
8	VerbG1.txt	12	<ruby>分かる<rt>わかる</rt></ruby>	Understand
9	VerbG1.txt	18	<ruby>知る<rt>しる</rt></ruby>	Know
10	VerbG1.txt	54	なる	Become
11	VerbG2.txt	2	<ruby>食べる<rt>たべる</rt></ruby>	Eat
12	VerbG1.txt	4	<ruby>飲む<rt>のむ</rt></ruby>	Drink
13	VerbG1.txt	2	<ruby>帰る<rt>かえる</rt></ruby>	Go back
14	VerbG1.txt	3	<ruby>聞く<rt>きく</rt></ruby>	Listen
15	VerbG1.txt	5	<ruby>話す<rt>はなす</rt></ruby>	Speak
16	VerbG1.txt	9	<ruby>買う<rt>かう</rt></ruby>	Buy
17	VerbG1.txt	34	<ruby>使う<rt>つかう</rt></ruby>	Use
18	VerbG1.txt	38	<ruby>入る<rt>はいる</rt></ruby>	Come in/Enter
19	VerbG2.txt	1	<ruby>起きる<rt>おきる</rt></ruby>	Wake up
20	VerbG2.txt	3	<ruby>寝る<rt>ねる</rt></ruby>	Sleep
21	VerbG1.txt	6	<ruby>読む<rt>よむ</rt></ruby>	Read
22	VerbG1.txt	7	<ruby>会う<rt>あう</rt></ruby>	Meet
23	VerbG1.txt	8	<ruby>書く<rt>かく</rt></ruby>	Write
24	VerbG1.txt	10	<ruby>取る<rt>とる</rt></ruby>	Take
25	VerbG1.txt	11	<ruby>待つ<rt>まつ</rt></ruby>	Wait
26	VerbG1.txt	14	<ruby>聞く<rt>きく</rt></ruby>	Ask
27	VerbG1.txt	15	<ruby>乗る<rt>のる</rt></ruby>	Ride/Get on
28	VerbG1.txt	19	<ruby>住む<rt>すむ</rt></ruby>	Live
29	VerbG1.txt	21	<ruby>働く<rt>はたらく</rt></ruby>	Work
30	VerbG1.txt	22	<ruby>休む<rt>やすむ</rt></ruby>	Rest/Absent
31	VerbG1.txt	23	<ruby>終わる<rt>おわる</rt></ruby>	Finish
32	VerbG1.txt	26	<ruby>送る<rt>おくる</rt></ruby>	Send
33	VerbG1.txt	27	もらう	Get/receive
34	VerbG1.txt	30	かかる	It takes/Cost
35	VerbG1.txt	31	<ruby>遊ぶ<rt>あそぶ</rt></ruby>	Play/Go out
36	VerbG1.txt	37	<ruby>持つ<rt>もつ</rt></ruby>	Hold
37	VerbG1.txt	42	<ruby>置く<rt>おく</rt></ruby>	Put
38	VerbG1.txt	43	<ruby>作る<rt>つくる</rt></ruby>	Make
39	VerbG1.txt	55	いる	Need
40	VerbG1.txt	64	<ruby>着く<rt>つく</rt></ruby>	Arrive
41	VerbG2.txt	7	<ruby>着る<rt>きる</rt></ruby>	Put on clothes
42	VerbG2.txt	8	<ruby>開ける<rt>あける</rt></ruby>	Open
43	VerbG2.txt	9	<ruby>教える<rt>おしえる</rt></ruby>	Teach
44	VerbG2.txt	10	<ruby>降りる<rt>おりる</rt></ruby>	Get off
45	VerbG2.txt	13	つける	Turn on
46	VerbG2.txt	14	<ruby>電話をかける<rt>でんわをかける</rt></ruby>	Make a call
47	VerbG2.txt	15	<ruby>忘れる<rt>わすれる</rt></ruby>	Forget
48	VerbG2.txt	18	あげる	Give
49	VerbG2.txt	19	<ruby>疲れる<rt>つかれる</rt></ruby>	Get tired
50	VerbG2.txt	20	<ruby>出る<rt>でる</rt></ruby>	Leave
51	VerbG2.txt	24	<ruby>始める<rt>はじめる</rt></ruby>	Start
52	VerbG2.txt	25	<ruby>覚える<rt>おぼえる</rt></ruby>	Memorize
53	VerbG2.txt	28	<ruby>調べる<rt>しらべる</rt></ruby>	Search/Look up
54	VerbG2.txt	33	<ruby>考える<rt>かんがえる</rt></ruby>	Think
55	VerbG3.txt	5	<ruby>勉強する<rt>べんきょうする</rt></ruby>	Study
56	VerbG3.txt	10	<ruby>電話する<rt>でんわする</rt></ruby>	Make a call
57	VerbG1.txt	16	<ruby>歌う<rt>うたう</rt></ruby>	Sing
58	VerbG1.txt	20	はく	Put on (shoes)
59	VerbG1.txt	25	<ruby>切る<rt>きる</rt></ruby>	Cut
60	VerbG1.txt	28	<ruby>貸す<rt>かす</rt></ruby>	Lend/Rent
61	VerbG1.txt	29	<ruby>習う<rt>ならう</rt></ruby>	Learn
62	VerbG1.txt	32	<ruby>消す<rt>けす</rt></ruby>	Turn off
63	VerbG1.txt	33	<ruby>立つ<rt>たつ</rt></ruby>	Stand
64	VerbG1.txt	35	<ruby>座る<rt>すわる</rt></ruby>	Sit
65	VerbG1.txt	36	<ruby>急ぐ<rt>いそぐ</rt></ruby>	Hurry
66	VerbG1.txt	39	<ruby>手伝う<rt>てつだう</rt></ruby>	Help
67	VerbG1.txt	40	<ruby>呼ぶ<rt>よぶ</rt></ruby>	Call
68	VerbG1.txt	41	<ruby>降る<rt>ふる</rt></ruby>	Fall
69	VerbG1.txt	44	<ruby>売る<rt>うる</rt></ruby>	Sell
70	VerbG1.txt	45	<ruby>思い出す<rt>おもいだす</rt></ruby>	Remember
71	VerbG1.txt	46	なくす	Lose
72	VerbG1.txt	47	<ruby>払う<rt>はらう</rt></ruby>	Pay
73	VerbG1.txt	48	<ruby>返す<rt>かえす</rt></ruby>	Return
74	VerbG1.txt	49	<ruby>脱ぐ<rt>ぬぐ</rt></ruby>	Take off
75	VerbG1.txt	50	<ruby>洗う<rt>あらう</rt></ruby>	Wash
76	VerbG1.txt	58	<ruby>勝つ<rt>かつ</rt></ruby>	Win
77	VerbG1.txt	59	<ruby>動く<rt>うごく</rt></ruby>	Move
78	VerbG1.txt	61	<ruby>渡る<rt>わたる</rt></ruby>	Cross
79	VerbG1.txt	62	<ruby>曲がる<rt>まがる</rt></ruby>	Turn a corner
80	VerbG1.txt	63	<ruby>直す<rt>なおす</rt></ruby>	Repair
81	VerbG1.txt	66	<ruby>探す<rt>さがす</rt></ruby>	Look for
82	VerbG1.txt	67	<ruby>間に合う<rt>まにあう</rt></ruby>	In time
83	VerbG2.txt	11	<ruby>借りる<rt>かりる</rt></ruby>	Borrow
84	VerbG2.txt	12	<ruby>閉める<rt>しめる</rt></ruby>	Close
85	VerbG2.txt	17	<ruby>捨てる<rt>すてる</rt></ruby>	Throw away
